record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class_before,region_class,class_corrected,class_ok_vote,suitability,unsuitable_reason,audit_stage,api_priority,rule_flags,final_certainty,final_confidence,audit_agreement,audit_vote_split,audit_reason,prior_decision_stage,prior_certainty,prior_reason
10,S1,primary somatosensory cortex,Mouse,PM36446382,200,105,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.98,,,rule_keep: clean,flash,high,"primary somatosensory cortex is neocortex | Primary somatosensory cortex, classic neocortex. | primary somatosensory cortex (S1) is a neocortical area"
11,CA1,CA1,Mouse,PM35843448,176,90,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9733,3/3,3-0,"CA1 is a hippocampal subfield, clearly non-neocortical. | CA1 is a hippocampal formation subfield, a clear non-neocortical gray-matter region. | CA1 is a hippocampal subfield, a well-defined gray-matter region correctly labeled non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
12,NAc,nucleus accumbens,Mouse,PM37732251,172,94,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"Nucleus accumbens is ventral striatum, clear non-neocortical gray matter. | Nucleus accumbens is ventral striatum/basal ganglia, not neocortex. | Nucleus accumbens is ventral striatum; clear non-neocortical gray matter",seed_remap,high,seed: subcortical → non_neocortex
13,PFC,prefrontal cortex,Mouse,PM37660322,171,79,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,PFC (prefrontal cortex) is a canonical neocortical region. | Prefrontal cortex is a canonical neocortical region. | PFC (prefrontal cortex) is a neocortical region.
14,PVN,paraventricular nucleus,Mouse,PM34823066,170,78,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9033,3/3,3-0,"PVN typically hypothalamic paraventricular nucleus, non-neocortical. | PVN/paraventricular nucleus in mouse conventionally refers to hypothalamic nucleus, a non-neocortical gray-matter ROI. | Paraventricular nucleus is hypothalamus; non-neocortical gray matter",seed_remap,high,seed: subcortical → non_neocortex
15,SC,superior colliculus,Mouse,PM37000205,170,86,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"Superior colliculus is midbrain, non-neocortical gray matter. | Superior colliculus is a midbrain structure, not neocortex. | Superior colliculus is midbrain; non-neocortical gray matter",seed_remap,high,seed: subcortical → non_neocortex
16,motor cortex,motor cortex,Mouse,PM39630872,167,111,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,Motor cortex is a primary neocortical area. | Motor cortex is a primary neocortical area. | Motor cortex is primary neocortex.
17,IC,inferior colliculus,Mouse,PM41275018,162,65,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"Inferior colliculus is midbrain, non-neocortical gray matter. | Inferior colliculus is a midbrain auditory structure, not neocortex. | Inferior colliculus is midbrain; non-neocortical gray matter",seed_remap,high,seed: subcortical → non_neocortex
18,NTS,nucleus tractus solitarius,Mouse,PM36309763,157,91,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"Nucleus tractus solitarius is a brainstem nucleus, clearly non-neocortical. | Nucleus tractus solitarius is a brainstem nucleus, clearly non-neocortical. | Nucleus tractus solitarius is a brainstem nucleus, clearly non-neocortical gray matter.",seed_remap,high,seed: subcortical → non_neocortex
19,LC,locus coeruleus,Mouse,PM33715169,149,72,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.98,3/3,3-0,"Locus coeruleus is a brainstem nucleus, clearly non-neocortical. | Locus coeruleus is a brainstem nucleus, not neocortex; concrete anatomical ROI. | Locus coeruleus is a brainstem nucleus, a well-defined non-neocortical gray matter region.",seed_remap,high,seed: subcortical → non_neocortex
20,amygdala,amygdala,Mouse,PM39103495,145,76,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.96,3/3,3-0,"Amygdala is a standard subcortical gray-matter region, non-neocortical. | Amygdala is a defined subcortical gray-matter region and standard projection ROI. | Amygdala is a subcortical limbic structure, correctly classified as non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
21,BNST,bed nucleus of the stria terminalis,Mouse,PM37808816,140,78,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.96,3/3,3-0,"Bed nucleus of the stria terminalis is a subcortical basal forebrain region, non-neocortical. | Bed nucleus of the stria terminalis is a subcortical forebrain nucleus, not neocortex. | Bed nucleus of the stria terminalis is a subcortical forebrain nucleus, not neocortex.",seed_remap,high,seed: subcortical → non_neocortex
22,CeA,central amygdala,Mouse,PM33421491,134,72,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9833,3/3,3-0,"Central amygdala is a clear amygdala nucleus, non-neocortical. | Central amygdala is an amygdala nucleus, clear non-neocortical gray matter. | Central amygdala is a clear amygdala nucleus; non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
23,LH,lateral hypothalamus,Mouse,PM42303307,134,75,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.98,3/3,3-0,"Lateral hypothalamus is a concrete hypothalamic gray-matter region. | Lateral hypothalamus is a hypothalamic region, non-neocortical and mappable. | Lateral hypothalamus is hypothalamic gray matter; non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
24,MD,mediodorsal thalamus,Mouse,PM33103997,133,65,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9867,3/3,3-0,"Mediodorsal thalamus is a standard thalamic nucleus, non-neocortical. | Mediodorsal thalamus is a thalamic nucleus, clearly non-neocortex. | Mediodorsal thalamus is a thalamic nucleus; non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
25,PL,prelimbic cortex,Mouse,PM35838139,130,59,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.99,,,rule_keep: clean,flash,high,PL (prelimbic cortex) is part of medial prefrontal neocortex. | Prelimbic cortex is part of medial prefrontal neocortex. | PL (prelimbic cortex) is part of medial prefrontal neocortex.
26,PAG,periaqueductal gray,Mouse,PM40610407,126,85,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.98,3/3,3-0,"Periaqueductal gray is a distinct midbrain gray-matter region. | Periaqueductal gray is midbrain/brainstem gray matter, non-neocortex. | Periaqueductal gray is midbrain gray matter; non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
27,PVT,paraventricular thalamus,Mouse,PM34032911,124,67,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
28,GPe,globus pallidus externus,Mouse,PM42039543,123,53,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"Globus pallidus externus is a clear subcortical basal ganglia structure, correctly classified as non-neocortex. | Globus pallidus externus is part of basal ganglia, non-neocortex. | Globus pallidus externus is a basal ganglia gray matter structure, clearly non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
29,SNr,substantia nigra pars reticulata,Mouse,PM33823137,123,51,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"Substantia nigra pars reticulata is a basal ganglia/midbrain structure, correctly classified as non-neocortex. | Substantia nigra pars reticulata is a midbrain/basal-ganglia-related nucleus, non-neocortex. | Substantia nigra pars reticulata is a subcortical midbrain/basal ganglia structure, non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
30,VP,ventral pallidum,Mouse,PM42133082,118,53,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9733,3/3,3-0,"Ventral pallidum is a subcortical basal ganglia region, correctly classified as non-neocortex. | Ventral pallidum is a basal ganglia/pallidal region, non-neocortex. | Ventral pallidum is a subcortical basal ganglia gray matter region, non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
31,STN,subthalamic nucleus,Mouse,PM35263607,110,52,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
32,CA3,CA3,Mouse,PM37426757,108,62,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
33,hippocampus,hippocampus,Mouse,PM40757734,104,77,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"Hippocampus is allocortex, not neocortex, so non-neocortex classification is correct. | Hippocampus is hippocampal formation, clearly non-neocortex and mappable. | Hippocampus is allocortex/cortical but explicitly non-neocortical; suitable concrete region.",seed_remap,high,seed: subcortical → non_neocortex
34,cerebellum,cerebellum,Mouse,PM36455518,102,58,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
35,DMS,dorsomedial striatum,Mouse,PM37156610,102,51,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.98,3/3,3-0,"Dorsomedial striatum is striatum, a clear non-neocortical subcortical structure. | Dorsomedial striatum is a basal ganglia gray-matter ROI, not neocortex; clear and mappable. | DMS is a standard acronym for dorsomedial striatum, a concrete gray-matter basal ganglia region.",seed_remap,high,seed: subcortical → non_neocortex
36,OFC,orbitofrontal cortex,Mouse,PM32424057,99,42,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,OFC (orbitofrontal cortex) is neocortical association area. | Orbitofrontal cortex is a neocortical region. | OFC (orbitofrontal cortex) is neocortex.
37,IL,infralimbic cortex,Mouse,PM40046441,98,44,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.99,,,rule_keep: clean,flash,high,IL (infralimbic cortex) is part of medial prefrontal neocortex. | Infralimbic cortex is a medial prefrontal neocortical area. | IL (infralimbic cortex) is part of medial prefrontal neocortex.
38,dLGN,dorsal lateral geniculate nucleus,Mouse,PM38890758,96,50,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9867,3/3,3-0,"Dorsal lateral geniculate nucleus is a thalamic nucleus, clearly non-neocortex. | Dorsal lateral geniculate nucleus is a thalamic nucleus, non-neocortex; standard anatomical ROI. | dLGN is a well-defined thalamic nucleus, correctly classified as non-neocortical and suitable for mapping.",seed_remap,high,seed: subcortical → non_neocortex
39,M2,secondary motor cortex,Mouse,PM37001992,94,48,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,M2 (secondary motor cortex) is a neocortical area. | Secondary motor cortex is a neocortical area. | M2 (secondary motor cortex) is a neocortical area.
40,RE,reuniens nucleus,Mouse,PM34301721,94,34,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.98,3/3,3-0,"Reuniens nucleus is a midline thalamic nucleus, clearly non-neocortex. | Reuniens nucleus is a midline thalamic nucleus, non-neocortex; concrete ROI suitable for mapping. | RE is the reuniens nucleus of the thalamus, a concrete non-neocortical gray-matter region.",seed_remap,high,seed: subcortical → non_neocortex
41,TRN,thalamic reticular nucleus,Mouse,PM40894799,94,36,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9867,3/3,3-0,"Thalamic reticular nucleus is a thalamic structure, clearly non-neocortex. | Thalamic reticular nucleus is a thalamic gray-matter structure, non-neocortex; clear region. | TRN is the thalamic reticular nucleus, a clear non-neocortical thalamic structure suitable for RCS mapping.",seed_remap,high,seed: subcortical → non_neocortex
42,VPM,ventral posteromedial thalamus,Mouse,PM36693103,91,49,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
43,DG,dentate gyrus,Mouse,PM36040301,90,47,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9833,3/3,3-0,"Dentate gyrus is a hippocampal gray matter structure, clearly non-neocortical. | Dentate gyrus belongs to hippocampal formation, non-neocortex; standard mappable ROI. | Dentate gyrus is hippocampal allocortex; non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
44,LHb,lateral habenula,Mouse,PM39067532,90,42,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
45,DCN,dorsal cochlear nucleus,Mouse,PM35645738,84,29,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9667,3/3,3-0,"Dorsal cochlear nucleus is a brainstem auditory nucleus, non-neocortex. | Dorsal cochlear nucleus is a brainstem auditory nucleus, non-neocortex; clear anatomical query. | Dorsal cochlear nucleus is a brainstem auditory nucleus; non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
46,LS,lateral septum,Mouse,PM39150998,84,37,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9767,3/3,3-0,"Lateral septum is a septal gray matter region, classified as non-neocortex. | Lateral septum is a septal gray-matter region, not neocortex; concrete anatomical ROI suitable for mapping. | Lateral septum is a septal subcortical structure; non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
47,hypothalamus,hypothalamus,Mouse,PM35413481,80,56,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.97,3/3,3-0,"Hypothalamus is a major diencephalic gray matter region, non-neocortical. | Hypothalamus is a diencephalic gray-matter region, not neocortex; suitable anatomical ROI. | Hypothalamus is a subcortical diencephalic region; non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
48,DLS,dorsolateral striatum,Mouse,PM37156610,77,43,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
49,PB,parabrachial nucleus,Mouse,PM39801453,75,18,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9867,3/3,3-0,"Parabrachial nucleus is a brainstem gray matter region; non-neocortical. | Parabrachial nucleus is a brainstem gray-matter region, not neocortex; clear test query. | Parabrachial nucleus is a brainstem nucleus, clearly non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
50,ZI,zona incerta,Mouse,PM39099402,71,37,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9833,3/3,3-0,"Zona incerta is a subthalamic diencephalic nucleus; clearly non-neocortex. | Zona incerta is a subthalamic/diencephalic gray-matter region, not neocortex; suitable. | Zona incerta is a diencephalic gray matter region, non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
51,LHA,lateral hypothalamic area,Mouse,PM41722046,70,34,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
52,MOp,primary motor cortex,Mouse,PM41415035,68,24,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,Primary motor cortex is a well-known neocortical area. | MOp (primary motor cortex) is a standard neocortical area. | Primary motor cortex (MOp) is a well-defined neocortical area.
53,PrL,prelimbic cortex,Mouse,PM42156719,68,38,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,Prelimbic cortex is part of medial prefrontal neocortex. | PrL (prelimbic cortex) is part of medial prefrontal neocortex. | Prelimbic cortex is part of medial prefrontal neocortex.
54,VLPAG,ventrolateral periaqueductal gray,Mouse,PM35813503,68,29,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9833,3/3,3-0,"Ventrolateral periaqueductal gray is midbrain gray matter; non-neocortical. | Ventrolateral periaqueductal gray is a midbrain gray-matter region, not neocortex; suitable. | Ventrolateral periaqueductal gray is midbrain gray matter, non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
55,LGN,lateral geniculate nucleus,Mouse,PM41702717,67,47,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.99,3/3,3-0,"Lateral geniculate nucleus is a thalamic sensory relay nucleus; non-neocortex. | Lateral geniculate nucleus is a thalamic sensory relay nucleus, not neocortex; suitable. | Lateral geniculate nucleus is a thalamic nucleus, non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
56,SNc,substantia nigra pars compacta,Mouse,PM38272967,66,38,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
57,PPN,pedunculopontine nucleus,Mouse,PM33907215,65,16,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.97,3/3,3-0,"Pedunculopontine nucleus is a brainstem nucleus, clearly non-neocortical. | Pedunculopontine nucleus is a brainstem nucleus; clearly non-neocortex. | Pedunculopontine nucleus is a brainstem structure, clearly non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
58,brainstem,brainstem,Mouse,PM41467584,63,44,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
59,dorsal striatum,dorsal striatum,Mouse,PM36395541,63,37,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9633,3/3,3-0,"Dorsal striatum is part of the basal ganglia/striatum, non-neocortical. | Dorsal striatum is basal ganglia; non-neocortical gray matter. | Dorsal striatum is a subcortical striatal gray-matter region, non-neocortex.",seed_remap,high,seed: subcortical → non_neocortex
60,putamen,putamen,Human,PM38601798,63,25,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.97,3/3,3-0,"Putamen is a striatal/basal ganglia structure, non-neocortical. | Putamen is part of the basal ganglia; clearly non-neocortex. | Putamen is part of the striatum, clearly non-neocortical and anatomically concrete.",seed_remap,high,seed: subcortical → non_neocortex
61,somatosensory cortex,somatosensory cortex,Mouse,PM35551446,63,43,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,Somatosensory cortex is a classic neocortical region. | Somatosensory cortex is a neocortical region. | Somatosensory cortex is a classic neocortical region.
62,POm,posterior medial thalamus,Mouse,PM36735778,62,32,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9633,3/3,3-0,"POm is posterior medial thalamus, a thalamic non-neocortical region. | POm/posterior medial thalamus is a thalamic nucleus; non-neocortex. | POm is a thalamic nucleus; thalamus is non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
63,vHPC,ventral hippocampus,Mouse,PM40204437,62,25,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.97,3/3,3-0,"Ventral hippocampus is a concrete allocortical gray matter region; not neocortex. | Ventral hippocampus belongs to hippocampal formation; non-neocortex. | Ventral hippocampus is hippocampal allocortex, non-neocortical and concrete gray-matter ROI.",seed_remap,high,seed: subcortical → non_neocortex
64,CLA,claustrum,Mouse,PM36774552,61,15,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9667,3/3,3-0,Claustrum is a defined gray matter structure classified as non-neocortex. | Claustrum is explicitly categorized as non-neocortex. | Claustrum is a defined gray-matter structure grouped as non-neocortex.,seed_remap,high,seed: subcortical → non_neocortex
65,PF,parafascicular nucleus,Mouse,PM38260117,61,33,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9633,3/3,3-0,"Parafascicular nucleus is a thalamic nucleus; concrete gray matter region. | Parafascicular nucleus is a thalamic intralaminar nucleus, clearly non-neocortical. | Parafascicular nucleus is a thalamic nucleus, clearly non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
66,DRN,dorsal raphe nucleus,Mouse,PM39593192,60,31,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.9667,3/3,3-0,"Dorsal raphe nucleus is a brainstem gray matter region; non-neocortex. | Dorsal raphe nucleus is a brainstem serotonergic nucleus, not neocortex. | Dorsal raphe nucleus is a brainstem serotonergic nucleus, non-neocortical.",seed_remap,high,seed: subcortical → non_neocortex
67,retina,retina,Mouse,PM40911558,60,28,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
68,sensorimotor cortex,sensorimotor cortex,Mouse,PM34449938,59,33,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,Sensorimotor cortex comprises neocortical motor and somatosensory areas. | Sensorimotor cortex refers to neocortical motor and somatosensory areas. | Sensorimotor cortex refers to neocortical motor and somatosensory areas.
69,VL,ventrolateral thalamus,Mouse,PM40657851,59,27,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
70,prefrontal cortex,prefrontal cortex,Human,PM34617601,58,44,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,Prefrontal cortex is neocortex in humans. | Prefrontal cortex is neocortex (isocortex). | Prefrontal cortex is a major division of neocortex.
71,S2,secondary somatosensory cortex,Mouse,PM40346961,58,27,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9967,,,rule_keep: clean,flash,high,Secondary somatosensory cortex is a neocortical area. | S2 (secondary somatosensory cortex) is a neocortical area. | Secondary somatosensory cortex (S2) is a neocortical area.
72,TC,thalamocortical,Mouse,PM40894799,58,25,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
73,PO,posterior nucleus,Mouse,PM36096667,57,25,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
74,primary motor cortex,primary motor cortex,Human,PM35982397,57,48,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9833,,,rule_keep: clean,flash,high,Primary motor cortex is a classic 6-layered neocortical area. | Primary motor cortex is a canonical 6-layered isocortical area. | Primary motor cortex is a well-defined neocortical area.
75,vmPFC,ventromedial prefrontal cortex,Mouse,PM33790281,57,23,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9833,,,rule_keep: clean,flash,high,Ventromedial prefrontal cortex is a neocortical region of the frontal lobe. | Ventromedial prefrontal cortex is part of prefrontal neocortex. | Ventromedial prefrontal cortex is part of prefrontal neocortex.
76,CST,corticospinal tract,Mouse,PM39416130,56,28,other,other,no,yes,unsuitable,fiber_tract_or_ventricle,rule,,rule_fiber|rule_prior_other,high,1.0,,,"rule_keep: rule_fiber,rule_prior_other",seed_remap,high,seed: other kept
77,PVH,paraventricular hypothalamus,Mouse,PM39179131,56,33,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
78,Sub,subiculum,Mouse,PM32433957,56,19,non_neocortex,non_neocortex,no,yes,suitable,,flash,spotcheck,,high,0.97,3/3,3-0,"Subiculum is hippocampal allocortex; non-neocortex correct. | Subiculum is part of the hippocampal formation, non-neocortical allocortex. | Subiculum is hippocampal formation, clear non-neocortical gray matter region.",seed_remap,high,seed: subcortical → non_neocortex
79,superior colliculus,superior colliculus,Mouse,PM36438664,56,38,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
80,VPL,ventral posterolateral nucleus,Mouse,PM38993679,56,38,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
