structure_name,category,species,paper,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Facial nucleus,gray_matter,Human,Adil2021,1,HOMBA:12420,facial nucleus,7N,facial nucleus,7N,HOMBA:12417,1202,1200,1.0,bm25+exact+fuzzy+hierarchy_parent,Facial nucleus,Facial nucleus,high_confidence,,1.0,common_parent_of_9_candidates,both
Trigeminal nucleus (motor),gray_matter,Human,Adil2021,1,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",5N,motor nucleus of trigeminal nerve,Mo5,HOMBA:AA30856,1216,1216,1.0,bm25+fuzzy,principal sensory nucleus of trigeminal nerve motor,motor principal sensory nucleus of trigeminal nerve,high_confidence,motor,1.0,,both
Trigeminal nucleus (principal sensory),gray_matter,Human,Adil2021,1,HOMBA:12444,principal sensory nucleus of trigeminal nerve,Pr5,principal sensory nucleus of trigeminal nerve,Pr5,HOMBA:12436,1230,1224,1.0,bm25+exact+fuzzy,Trigeminal nucleus,Trigeminal nucleus,high_confidence,principal;sensory;principal sensory,1.0,,both
Cuneate nucleus,gray_matter,Human,Adil2021,1,HOMBA:12589,cuneate nucleus,Cu,cuneate nucleus,Cu,HOMBA:12587,1358,1357,1.0,bm25+exact+fuzzy+hierarchy_parent,Cuneate nucleus,Cuneate nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Cuneate nucleus (external),gray_matter,Human,Adil2021,1,HOMBA:12588,external (accessory/lateral) cuneate nucleus,ECu,external (accessory/lateral) cuneate nucleus,ECu,HOMBA:12587,1357,1357,1.0,bm25+fuzzy,Cuneate nucleus,external   cuneate nucleus,high_confidence,external,1.0,,both
Gracile nucleus,gray_matter,Human,Adil2021,1,HOMBA:12592,gracile nucleus,Gr,gracile nucleus,Gr,HOMBA:12587,1361,1357,1.0,bm25+exact+fuzzy+hierarchy_parent,Gracile nucleus,Gracile nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Hypoglossal nucleus,gray_matter,Human,Adil2021,1,HOMBA:12545,hypoglossal nucleus,12N,hypoglossal nucleus,12N,HOMBA:12539,1327,1327,1.0,bm25+exact+fuzzy+hierarchy_parent,Hypoglossal nucleus,Hypoglossal nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Inferior olive (principal nucleus),gray_matter,Human,Adil2021,1,HOMBA:12600,inferior olive,IO,inferior olive,IO,HOMBA:12595,1403,1399,1.0,bm25+exact+fuzzy,Inferior olive,Inferior olive,modifier_conflict,principal;nucleus;principal nucleus,0.333333,,both
Spinal trigeminal nucleus (caudalis),gray_matter,Human,Adil2021,1,HOMBA:12573,"spinal trigeminal nucleus, caudal division",Sp5C,"spinal trigeminal nucleus, caudal part",Sp5C,HOMBA:12572,1382,1382,1.0,bm25+fuzzy,Spinal trigeminal nucleus (caudalis),spinal trigeminal nucleus caudalis part,high_confidence,caudalis,1.0,,both
Spinal trigeminal nucleus (interpolaris),gray_matter,Human,Adil2021,1,HOMBA:12578,"spinal trigeminal nucleus, interpolar division",Sp5ip,"spinal trigeminal nucleus, interpolar part",Sp5ip,HOMBA:12572,1384,1382,1.0,bm25+fuzzy,Spinal trigeminal nucleus (interpolaris),spinal trigeminal nucleus interpolaris part,high_confidence,interpolaris,1.0,,both
Spinal trigeminal nucleus (oralis),gray_matter,Human,Adil2021,1,HOMBA:12572,spinal trigeminal nucleus,Sp5,spinal trigeminal nucleus,Sp5,HOMBA:AA30457,1381,1381,0.88,bm25+exact+fuzzy,Spinal trigeminal nucleus,Spinal trigeminal nucleus,needs_review,oralis,0.0,,both
Vestibular nucleus,gray_matter,Human,Adil2021,1,HOMBA:12448,vestibular nuclei in pons,8Vepn,vestibular nuclei in pons,8Ve-p,HOMBA:12436,1234,1224,1.0,bm25+exact+fuzzy+hierarchy_parent,Vestibular nucleus,Vestibular nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Optic chiasm,cranial_nerve,Human,Adil2021,1,HOMBA:10644,optic chiasm,ox,optic chiasm,ox,HOMBA:AA30483,1598,1571,1.0,bm25+exact+fuzzy,Optic chiasm,Optic chiasm,high_confidence,,1.0,,both
Optic tract,cranial_nerve,Human,Adil2021,1,HOMBA:10589,optic tract,ot,optic tract,ot,HOMBA:AA30489,1654,1607,1.0,bm25+exact+fuzzy,Optic tract,Optic tract,high_confidence,,1.0,,both
Roots of the abducens nerve,cranial_nerve,Human,Adil2021,1,HOMBA:12861,root of abducens nerve,r6,root of abducens nerve,r6,HOMBA:12856,2067,2064,0.699804,bm25+fuzzy,Roots of the abducens nerve,root of abducens nerve,needs_review,,1.0,,both
Roots of the facial nerve,cranial_nerve,Human,Adil2021,1,HOMBA:12862,root of facial nerve,r7,root of facial nerve,r7,HOMBA:12856,2068,2064,0.682345,bm25+fuzzy+hierarchy_parent,Roots of the facial nerve,root of facial nerve,needs_review,,1.0,common_parent_of_2_candidates,both
Roots of the trigeminal nerve,cranial_nerve,Human,Adil2021,1,HOMBA:12865,root of trigeminal nerve,r5,root of trigeminal nerve,r5,HOMBA:12856,2071,2064,0.713953,bm25+fuzzy+hierarchy_parent,Roots of the trigeminal nerve,root of trigeminal nerve,needs_review,,1.0,common_parent_of_2_candidates,both
Corticospinal tract,white_matter,Human,Adil2021,1,HOMBA:12047,corticospinal tract,csp,corticospinal fibers,csp,HOMBA:12773,1682,1680,1.0,bm25+exact+fuzzy,Corticospinal tract,Corticospinal tract,high_confidence,,1.0,,both
Medial lemniscus,white_matter,Human,Adil2021,1,HOMBA:12763,medial lemniscus,ml,medial lemniscus,ml,HOMBA:AA30489,1676,1607,1.0,bm25+exact+fuzzy,Medial lemniscus,Medial lemniscus,high_confidence,medial,1.0,,both
Medial longitudinal fasciculus,white_matter,Human,Adil2021,1,HOMBA:12764,medial longitudinal fasciculus,mlf,medial longitudinal fasciculus,mlf,HOMBA:AA30489,1677,1607,1.0,bm25+exact+fuzzy,Medial longitudinal fasciculus,Medial longitudinal fasciculus,high_confidence,medial,1.0,,both
Spinothalamic tract,white_matter,Human,Adil2021,1,HOMBA:12789,spinothalamic tract,spth,spinothalamic tract,spth,HOMBA:12784,1785,1781,1.0,bm25+exact+fuzzy,Spinothalamic tract,Spinothalamic tract,high_confidence,,1.0,,both
Cerebral peduncle,white_matter,Human,Adil2021,1,HOMBA:12330,cerebral peduncle (crus cerebri),cpd,cerebral peduncle (crus cerebri),cpd,HOMBA:AA30489,1665,1607,1.0,bm25+exact+fuzzy,Cerebral peduncle,Cerebral peduncle,high_confidence,,1.0,,both
Trigeminal tract (mesencephalic),white_matter,Human,Adil2021,1,HOMBA:12767,mesencephalic trigeminal tract,me5,mesencephalic trigeminal tract,me5,HOMBA:AA30492,1748,1689,0.982135,bm25+fuzzy,Trigeminal tract (mesencephalic),mesencephalic trigeminal tract,high_confidence,mesencephalic,1.0,,both
Inferior cerebellar peduncle,white_matter,Human,Adil2021,1,HOMBA:12741,inferior cerebellar peduncle,icp,inferior cerebellar peduncle,icp,HOMBA:AA30489,1674,1607,1.0,bm25+exact+fuzzy,Inferior cerebellar peduncle,Inferior cerebellar peduncle,high_confidence,,1.0,,both
Middle cerebellar peduncle,white_matter,Human,Adil2021,1,HOMBA:12768,middle cerebellar peduncle (brachium pontis),mcp,middle cerebellar peduncle,mcp,HOMBA:AA30489,1675,1607,1.0,bm25+exact+fuzzy,Middle cerebellar peduncle,Middle cerebellar peduncle,high_confidence,,1.0,,both
Superior cerebellar peduncle,white_matter,Human,Adil2021,1,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),scp,superior cerebellar peduncle (brachium conjunctivum),scp,HOMBA:AA30489,1685,1607,1.0,bm25+exact+fuzzy,Superior cerebellar peduncle,Superior cerebellar peduncle,high_confidence,,1.0,,both
Superior cerebellar peduncle (decussation),white_matter,Human,Adil2021,1,HOMBA:12337,decussation of superior cerebellar peduncle,xscp,decussation of superior cerebellar peduncle,xscp,HOMBA:AA30483,1592,1571,1.0,bm25+fuzzy,Superior cerebellar peduncle,decussation of superior cerebellar peduncle,high_confidence,decussation,1.0,,both
Cuneate fasciculus,white_matter,Human,Adil2021,1,HOMBA:12731,cuneate fasciculus,cuf,cuneate fasciculus,cuf,HOMBA:AA30489,1671,1607,1.0,bm25+exact+fuzzy,Cuneate fasciculus,Cuneate fasciculus,high_confidence,,1.0,,both
Gracile fasciculus,white_matter,Human,Adil2021,1,HOMBA:12739,gracile fasciculus,gr,gracile fasciculus,gr,HOMBA:AA30489,1673,1607,1.0,bm25+exact+fuzzy,Gracile fasciculus,Gracile fasciculus,high_confidence,,1.0,,both
Pyramidal decussation,white_matter,Human,Adil2021,1,HOMBA:12772,pyramidal decussation,xpy,pyramidal decussation,xpy,HOMBA:AA30483,1600,1571,1.0,bm25+exact+fuzzy,Pyramidal decussation,Pyramidal decussation,high_confidence,decussation,1.0,,both
Spinal trigeminal tract,white_matter,Human,Adil2021,1,HOMBA:12792,spinal trigeminal tract,sp5,spinal trigeminal tract,sp5,HOMBA:AA30489,1684,1607,1.0,bm25+exact+fuzzy,Spinal trigeminal tract,Spinal trigeminal tract,high_confidence,,1.0,,both
Anterior commissure,white_matter,Human,Adil2021,1,HOMBA:10559,anterior commissure,ac,anterior commissure,ac,HOMBA:AA30483,1571,1571,1.0,bm25+exact+fuzzy+hierarchy_parent,Anterior commissure,Anterior commissure,high_confidence,,1.0,common_parent_of_2_candidates,both
Fornix (anterior columns),white_matter,Human,Adil2021,1,HOMBA:10576,fornix,fx,fornix,fx,HOMBA:AA30489,1619,1607,0.88,bm25+exact+fuzzy,Fornix,Fornix,needs_review,anterior;columns;anterior columns,0.0,,both
Internal capsule (posterior limb),white_matter,Human,Adil2021,1,HOMBA:10584,caudal limb of internal capsule,icc,posterior limb of internal capsule,pic,HOMBA:10581,1629,1627,0.957379,bm25+fuzzy,Internal capsule (posterior limb),posterior limb of internal capsule,high_confidence,posterior;limb;posterior limb,1.0,,both
Mammillothalamic tract,white_matter,Human,Adil2021,1,HOMBA:10586,mammillothalamic tract,mtt,mammillothalamic tract,mtt,HOMBA:AA30489,1648,1607,1.0,bm25+exact+fuzzy,Mammillothalamic tract,Mammillothalamic tract,high_confidence,,1.0,,both
Posterior commissure,white_matter,Human,Adil2021,1,HOMBA:10567,posterior commissure,poc,posterior commissure,poc,HOMBA:AA30483,1599,1571,1.0,bm25+exact+fuzzy,Posterior commissure,Posterior commissure,high_confidence,posterior,1.0,,both
Cerebral aqueduct,ventricle,Human,Adil2021,1,HOMBA:12369,cerebral aqueduct,Aq,cerebral aqueduct,Aq,HOMBA:10651,1544,1544,1.0,bm25+exact+fuzzy,Cerebral aqueduct,Cerebral aqueduct,high_confidence,,1.0,,both
Fourth ventricle,ventricle,Human,Adil2021,1,HOMBA:12805,fourth ventricle,4V,fourth ventricle,4V,HOMBA:10669,1546,1546,1.0,bm25+exact+fuzzy+hierarchy_parent,Fourth ventricle,Fourth ventricle,high_confidence,,1.0,common_parent_of_2_candidates,both
Obex,ventricle,Human,Adil2021,1,HOMBA:12812,obex,Obx,obex,Obx,HOMBA:12810,1564,1551,1.0,bm25+exact+fuzzy,Obex,Obex,high_confidence,,1.0,,both
Oculomotor nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12198,oculomotor nucleus,3N,oculomotor nucleus,3N,HOMBA:12196,989,987,1.0,bm25+exact+fuzzy+hierarchy_parent,Oculomotor nucleus,Oculomotor nucleus,high_confidence,,1.0,common_parent_of_7_candidates,both
Edinger-Westphal nucleus (preganglionic),gray_matter,Human,Agostinelli2023,1,HOMBA:12197,Edinger-Westphal nucleus (accessory oculomotor nucleus),EW,Edinger-Westphal nucleus (accessory oculomotor nucleus),EW,HOMBA:12196,987,987,0.88,bm25+exact+fuzzy,Edinger-Westphal nucleus,Edinger-Westphal nucleus,needs_review,preganglionic,0.0,,both
Trochlear nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12206,trochlear nucleus,4N,trochlear nucleus,4N,HOMBA:12196,997,987,1.0,bm25+exact+fuzzy,Trochlear nucleus,Trochlear nucleus,high_confidence,,1.0,,both
Motor trigeminal nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",5N,motor nucleus of trigeminal nerve,Mo5,HOMBA:AA30856,1216,1216,1.0,bm25+exact+fuzzy+hierarchy_parent,Motor trigeminal nucleus,Motor trigeminal nucleus,high_confidence,,1.0,common_parent_of_6_candidates,both
Principal sensory trigeminal nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12444,principal sensory nucleus of trigeminal nerve,Pr5,principal sensory nucleus of trigeminal nerve,Pr5,HOMBA:12436,1230,1224,1.0,bm25+fuzzy,principal sensory principal sensory nucleus of trigeminal nerve,principal sensory nucleus of trigeminal nerve,high_confidence,principal,1.0,,both
Spinal trigeminal nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12572,spinal trigeminal nucleus,Sp5,spinal trigeminal nucleus,Sp5,HOMBA:AA30457,1381,1381,1.0,bm25+exact+fuzzy+hierarchy_parent,Spinal trigeminal nucleus,Spinal trigeminal nucleus,high_confidence,,1.0,common_parent_of_3_candidates,both
Abducens nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12418,abducens nucleus,6N,abducens nucleus,6N,HOMBA:12417,1200,1200,1.0,bm25+exact+fuzzy,Abducens nucleus,Abducens nucleus,high_confidence,,1.0,,both
Facial nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12420,facial nucleus,7N,facial nucleus,7N,HOMBA:12417,1202,1200,1.0,bm25+exact+fuzzy+hierarchy_parent,Facial nucleus,Facial nucleus,high_confidence,,1.0,common_parent_of_9_candidates,both
Accessory trigeminal nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12419,accessory facial nucleus,Acs7,accessory facial nucleus,Acs7,HOMBA:AA30446,1305,1302,0.760807,bm25+fuzzy,Accessory trigeminal nucleus,accessory facial nucleus,needs_review,accessory,1.0,,both
Accessory facial nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12419,accessory facial nucleus,Acs7,accessory facial nucleus,Acs7,HOMBA:AA30446,1305,1302,1.0,bm25+exact+fuzzy,Accessory facial nucleus,Accessory facial nucleus,high_confidence,accessory,1.0,,both
Superior salivatory nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12435,superior salivatory nucleus,SSV,superior salivatory nucleus,SuSV,HOMBA:12417,1214,1200,1.0,bm25+exact+fuzzy,Superior salivatory nucleus,Superior salivatory nucleus,high_confidence,,1.0,,both
Inferior salivatory nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12544,inferior salivatory nucleus,ISN,inferior salivatory nucleus,InSV,HOMBA:12539,1341,1327,1.0,bm25+exact+fuzzy,Inferior salivatory nucleus,Inferior salivatory nucleus,high_confidence,,1.0,,both
Ventral cochlear nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12439,ventral cochlear nucleus,VCo,ventral cochlear nucleus,VCo,HOMBA:12437,1227,1225,1.0,bm25+exact+fuzzy,Ventral cochlear nucleus,Ventral cochlear nucleus,high_confidence,ventral,1.0,,both
Dorsal cochlear nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12438,dorsal cochlear nucleus,DCo,dorsal cochlear nucleus,DCo,HOMBA:12437,1225,1225,1.0,bm25+exact+fuzzy,Dorsal cochlear nucleus,Dorsal cochlear nucleus,high_confidence,dorsal,1.0,,both
Pontobulbar nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12614,pontobulbar nucleus,PnBu,pontobulbar nucleus,PnbN,HOMBA:AA30457,1397,1381,1.0,bm25+exact+fuzzy,Pontobulbar nucleus,Pontobulbar nucleus,high_confidence,,1.0,,both
Dorsal motor nucleus of vagus,gray_matter,Human,Agostinelli2023,1,HOMBA:12550,dorsal motor nucleus of the vagus (vagal nerve nucleus),10N,dorsal motor nucleus of the vagus (vagal nucleus),10N,HOMBA:12539,1332,1327,1.0,bm25+fuzzy,Dorsal motor nucleus of vagus,dorsal motor nucleus of the vagus,high_confidence,dorsal,1.0,,both
Nucleus ambiguus,gray_matter,Human,Agostinelli2023,1,HOMBA:12540,ambiguus nucleus,Amb,ambiguus nucleus,Amb,HOMBA:12616,1416,1416,0.838077,bm25+fuzzy+hierarchy_parent,nuclei ambiguus,ambiguus nuclei,needs_review,,1.0,common_parent_of_3_candidates,both
Vagus (spinal accessory) neurons,gray_matter,Human,Agostinelli2023,1,HOMBA:AA30691,lamina IX of spinal cord (spinal motor neurons),Sp9,,,HOMBA:AA30688,2234,2228,0.615401,bm25+fuzzy,Vagus (spinal accessory) neurons,spinal motor neurons,modifier_conflict,spinal;accessory;spinal accessory,0.333333,,both
Hypoglossal nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12545,hypoglossal nucleus,12N,hypoglossal nucleus,12N,HOMBA:12539,1327,1327,1.0,bm25+exact+fuzzy+hierarchy_parent,Hypoglossal nucleus,Hypoglossal nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Nucleus of the solitary tract,gray_matter,Human,Agostinelli2023,1,HOMBA:12557,solitary nucleus,Sol,solitary nucleus,Sol,HOMBA:12556,1343,1343,1.0,bm25+exact+fuzzy+hierarchy_parent,Nucleus of the solitary tract,Nucleus of the solitary tract,high_confidence,,1.0,common_parent_of_10_candidates,both
Area postrema,gray_matter,Human,Agostinelli2023,1,HOMBA:12807,area postrema,AP,area postrema,AP,HOMBA:AA30453,1365,1365,1.0,bm25+exact+fuzzy,Area postrema,Area postrema,high_confidence,,1.0,,both
Prepositus nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:AA30453,other nuclei in dorsal medulla,MoDx,,,HOMBA:AA30451,1364,1324,0.778698,hierarchy_parent,Prepositus nucleus,other nuclei in dorsal medulla,needs_review,,1.0,common_parent_of_3_candidates,both
Intermediate reticular zone,gray_matter,Human,Agostinelli2023,1,HOMBA:12620,intermediate reticular nucleus,IRt,intermediate reticular nucleus,IRt,HOMBA:12616,1422,1416,0.818505,bm25+fuzzy,Intermediate reticular zone,intermediate reticular nuclei,needs_review,reticular,1.0,,both
Lateral reticular nucleus (magnocellular),gray_matter,Human,Agostinelli2023,1,HOMBA:12634,lateral reticular nucleus,LRt,lateral reticular nucleus (principal part),LRt,HOMBA:12616,1436,1416,1.0,bm25+exact+fuzzy,Lateral reticular nucleus,Lateral reticular nucleus,modifier_conflict,magnocellular;lateral;reticular,0.666667,,both
Lateral reticular nucleus (parvicellular),gray_matter,Human,Agostinelli2023,1,HOMBA:12634,lateral reticular nucleus,LRt,lateral reticular nucleus (principal part),LRt,HOMBA:12616,1436,1416,1.0,bm25+exact+fuzzy,Lateral reticular nucleus,Lateral reticular nucleus,modifier_conflict,parvicellular;lateral;reticular,0.666667,,both
Ventrolateral medulla,gray_matter,Human,Agostinelli2023,1,HOMBA:10662,myelencephalon (medulla oblongata),Mo,myelencephalon (medulla oblongata),Mo,HOMBA:AA30377,1318,1101,0.72379,bm25+fuzzy+hierarchy_parent,ventrolateral medulla oblongata,medulla oblongata,needs_review,,1.0,common_parent_of_2_candidates,both
Pedunculopontine tegmentum,gray_matter,Human,Agostinelli2023,1,HOMBA:12416,pontine tegmentum,PnTg,pontine tegmentum,PnTg,HOMBA:10661,1180,1171,0.761218,bm25+fuzzy+hierarchy_parent,Pedunculopontine tegmentum,pontine tegmentum,needs_review,,1.0,common_parent_of_2_candidates,both
Laterodorsal tegmentum,gray_matter,Human,Agostinelli2023,1,HOMBA:AA30860,laterodorsal subdivision of PuM,PuMld,,,HOMBA:AA30859,472,472,0.50405,bm25+fuzzy,Laterodorsal tegmentum,laterodorsal subdivision of PuM,low_confidence,,1.0,,both
Lateral parabrachial nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12482,lateral parabrachial nucleus,LPB,lateral parabrachial nucleus,LPB,HOMBA:12481,1244,1244,1.0,bm25+exact+fuzzy,Lateral parabrachial nucleus,Lateral parabrachial nucleus,high_confidence,lateral,1.0,,both
Medial parabrachial nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12487,medial parabrachial nucleus,MPB,medial parabrachial nucleus,MPB,HOMBA:12481,1249,1244,1.0,bm25+exact+fuzzy,Medial parabrachial nucleus,Medial parabrachial nucleus,high_confidence,medial,1.0,,both
External lateral parabrachial nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12485,"lateral parabrachial nucleus, external division",LPBe,"lateral parabrachial nucleus, external part",LPBe,HOMBA:12482,1247,1245,1.0,bm25+fuzzy,External lateral parabrachial nucleus,external part lateral parabrachial nucleus,high_confidence,external;lateral,1.0,,both
Periaqueductal gray,gray_matter,Human,Agostinelli2023,1,HOMBA:AA30359,periaqueductal gray region,PAGR,,,HOMBA:12195,998,986,0.94,bm25+fuzzy,Periaqueductal gray,periaqueductal gray region,high_confidence,,1.0,,both
Superior colliculus,gray_matter,Human,Agostinelli2023,1,HOMBA:12292,superior colliculus,SC,superior colliculus,SC,HOMBA:12291,963,963,1.0,bm25+exact+fuzzy+hierarchy_parent,Superior colliculus,Superior colliculus,high_confidence,,1.0,common_parent_of_4_candidates,both
Inferior colliculus,gray_matter,Human,Agostinelli2023,1,HOMBA:12305,inferior colliculus,IC,inferior colliculus,IC,HOMBA:12291,976,963,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior colliculus,Inferior colliculus,high_confidence,,1.0,common_parent_of_4_candidates,both
Locus coeruleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12499,nucleus coeruleus (locus coeruleus),NC,nucleus coeruleus,NC,HOMBA:146034964,1196,1182,1.0,bm25+exact+fuzzy,Locus coeruleus,Locus coeruleus,high_confidence,,1.0,,both
A1 catecholaminergic cell group,gray_matter,Human,Agostinelli2023,1,HOMBA:AA30843,A8 dopamine cell group,DA8,,,HOMBA:12289,1040,1039,0.545644,bm25+fuzzy,A1 catecholaminergic cell group,A8 dopamine cell group,low_confidence,,1.0,,both
A4 catecholaminergic cell group,gray_matter,Human,Agostinelli2023,1,HOMBA:AA30843,A8 dopamine cell group,DA8,,,HOMBA:12289,1040,1039,0.545644,bm25+fuzzy,A4 catecholaminergic cell group,A8 dopamine cell group,low_confidence,,1.0,,both
A5 catecholaminergic cell group,gray_matter,Human,Agostinelli2023,1,HOMBA:AA30467,inner granular cell zone of cerebellum,CBig,,,HOMBA:AA30464,1466,1463,0.284777,hierarchy_parent,A5 catecholaminergic cell group,inner granular cell zone of cerebellum,low_confidence,,1.0,common_parent_of_2_candidates,both
A8 catecholaminergic cell group,gray_matter,Human,Agostinelli2023,1,HOMBA:AA30843,A8 dopamine cell group,DA8,,,HOMBA:12289,1040,1039,0.673483,bm25+fuzzy,A8 catecholaminergic cell group,A8 dopamine cell group,needs_review,,1.0,,both
Substantia nigra,gray_matter,Human,Agostinelli2023,1,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,1.0,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra,Substantia nigra,high_confidence,,1.0,common_parent_of_4_candidates,both
Ventral tegmental area,gray_matter,Human,Agostinelli2023,1,HOMBA:12261,ventral tegmental area,VTA,ventral tegmental area,VTA,HOMBA:146034938,1053,1053,1.0,bm25+exact+fuzzy,Ventral tegmental area,Ventral tegmental area,high_confidence,ventral,1.0,,both
Dorsal raphe,gray_matter,Human,Agostinelli2023,1,HOMBA:12223,dorsal raphe nucleus,DR,dorsal raphe nucleus,DR,HOMBA:12222,1018,1018,0.947851,bm25+fuzzy,Dorsal raphe,dorsal raphe nuclei,high_confidence,dorsal,1.0,,both
Median raphe,gray_matter,Human,Agostinelli2023,1,HOMBA:12235,median raphe nucleus,MnR,median raphe nucleus,MnR,HOMBA:12471,1287,1281,0.711952,bm25+fuzzy,Median raphe,median raphe nuclei,needs_review,,1.0,,both
Raphe magnus,gray_matter,Human,Agostinelli2023,1,HOMBA:12642,raphe magnus nucleus,RMg,raphe magnus nucleus,RMg,HOMBA:12641,1447,1447,0.711952,bm25+fuzzy,Raphe magnus,raphe magnus nuclei,needs_review,,1.0,,both
Raphe obscurus,gray_matter,Human,Agostinelli2023,1,HOMBA:12643,raphe obscurus nucleus,ROb,raphe obscurus nucleus,ROb,HOMBA:12641,1448,1447,0.734583,bm25+fuzzy,Raphe obscurus,raphe obscurus nuclei,needs_review,,1.0,,both
