dataset,query,role,review_reference_top1_id,impr_id,impr_name,impr_score,impr_flag,changed_vs_baseline,base_id,base_name,base_score,base_flag
corpus,Brachium conjunctivum,llm_accept_top1,HOMBA:12354,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),1.0,high_confidence,,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),1.0,high_confidence
corpus,CA1,llm_accept_top1,HOMBA:10297,HOMBA:10297,CA1 region of hippocampus,1.0,high_confidence,,HOMBA:10297,CA1 region of hippocampus,1.0,high_confidence
corpus,CA2,llm_accept_top1,HOMBA:10298,HOMBA:10298,CA2 region of hippocampus,1.0,high_confidence,,HOMBA:10298,CA2 region of hippocampus,1.0,high_confidence
corpus,CA3,llm_accept_top1,HOMBA:10299,HOMBA:10299,CA3 region of hippocampus,1.0,high_confidence,,HOMBA:10299,CA3 region of hippocampus,1.0,high_confidence
corpus,Caudate nucleus,llm_accept_top1,HOMBA:10334,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),1.0,high_confidence,,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),1.0,high_confidence
corpus,Cerebellar cortex (Purkinje cell layer),llm_accept_top1,HOMBA:AA30428,HOMBA:AA30428,Purkinje cell layer of cerebellar cortex,1.0,high_confidence,,HOMBA:AA30428,Purkinje cell layer of cerebellar cortex,1.0,high_confidence
corpus,Cerebellar hemisphere,llm_accept_top1,HOMBA:10659,HOMBA:10659,cerebellar hemisphere,1.0,high_confidence,,HOMBA:10659,cerebellar hemisphere,1.0,high_confidence
corpus,Cerebellar vermis,llm_accept_top1,HOMBA:10658,HOMBA:10658,cerebellar vermis,1.0,high_confidence,,HOMBA:10658,cerebellar vermis,1.0,high_confidence
corpus,Cerebral aqueduct,llm_accept_top1,HOMBA:12369,HOMBA:12369,cerebral aqueduct,1.0,high_confidence,,HOMBA:12369,cerebral aqueduct,1.0,high_confidence
corpus,Cerebral peduncle,llm_accept_top1,HOMBA:12330,HOMBA:12330,cerebral peduncle (crus cerebri),1.0,high_confidence,,HOMBA:12330,cerebral peduncle (crus cerebri),1.0,high_confidence
corpus,Cingulate gyrus (posterior),llm_accept_top1,HOMBA:10285,HOMBA:10285,posterior cingulate cortex (PCC),1.0,high_confidence,,HOMBA:10285,posterior cingulate cortex (PCC),1.0,high_confidence
corpus,Corticospinal tract,llm_accept_top1,HOMBA:12047,HOMBA:12047,corticospinal tract,1.0,high_confidence,,HOMBA:12047,corticospinal tract,1.0,high_confidence
corpus,Cuneate fasciculus,llm_accept_top1,HOMBA:12731,HOMBA:12731,cuneate fasciculus,1.0,high_confidence,,HOMBA:12731,cuneate fasciculus,1.0,high_confidence
corpus,Cuneate nucleus,llm_accept_top1,HOMBA:12589,HOMBA:12589,cuneate nucleus,1.0,high_confidence,,HOMBA:12589,cuneate nucleus,1.0,high_confidence
corpus,Cuneate nucleus (external),llm_accept_top1,HOMBA:12588,HOMBA:12588,external (accessory/lateral) cuneate nucleus,1.0,high_confidence,,HOMBA:12588,external (accessory/lateral) cuneate nucleus,1.0,high_confidence
corpus,Cuneus,llm_accept_top1,HOMBA:12150,HOMBA:12150,cuneus (gyrus),1.0,high_confidence,,HOMBA:12150,cuneus (gyrus),1.0,high_confidence
corpus,Dentate gyrus,llm_accept_top1,HOMBA:10295,HOMBA:10295,dentate gyrus,1.0,high_confidence,,HOMBA:10295,dentate gyrus,1.0,high_confidence
corpus,Dentate nucleus,llm_accept_top1,HOMBA:12396,HOMBA:12396,dentate (lateral) nucleus,1.0,high_confidence,,HOMBA:12396,dentate (lateral) nucleus,1.0,high_confidence
corpus,Dorsal cochlear nucleus,llm_accept_top1,HOMBA:12438,HOMBA:12438,dorsal cochlear nucleus,1.0,high_confidence,,HOMBA:12438,dorsal cochlear nucleus,1.0,high_confidence
corpus,Dorsal motor nucleus of vagus,llm_accept_top1,HOMBA:12550,HOMBA:12550,dorsal motor nucleus of the vagus (vagal nerve nucleus),1.0,high_confidence,,HOMBA:12550,dorsal motor nucleus of the vagus (vagal nerve nucleus),1.0,high_confidence
corpus,Emboliform nucleus,llm_accept_top1,HOMBA:12401,HOMBA:12401,lateral interpositus (emboliform) nucleus,1.0,high_confidence,,HOMBA:12401,lateral interpositus (emboliform) nucleus,1.0,high_confidence
corpus,Entorhinal area,llm_accept_top1,HOMBA:10317,HOMBA:10317,entorhinal cortex,1.0,high_confidence,,HOMBA:10317,entorhinal cortex,1.0,high_confidence
corpus,Entorhinal cortex,llm_accept_top1,HOMBA:10317,HOMBA:10317,entorhinal cortex,1.0,high_confidence,,HOMBA:10317,entorhinal cortex,1.0,high_confidence
corpus,External lateral parabrachial nucleus,llm_accept_top1,HOMBA:12485,HOMBA:12485,"lateral parabrachial nucleus, external division",1.0,high_confidence,,HOMBA:12485,"lateral parabrachial nucleus, external division",1.0,high_confidence
corpus,Facial nucleus,llm_accept_top1,HOMBA:12420,HOMBA:12420,facial nucleus,1.0,high_confidence,,HOMBA:12420,facial nucleus,1.0,high_confidence
corpus,Fastigial nucleus,llm_accept_top1,HOMBA:12402,HOMBA:12402,fastigial (medial) nucleus,1.0,high_confidence,,HOMBA:12402,fastigial (medial) nucleus,1.0,high_confidence
corpus,Fimbria,llm_accept_top1,HOMBA:10575,HOMBA:10575,fimbria,1.0,high_confidence,,HOMBA:10575,fimbria,1.0,high_confidence
corpus,Flocculus,llm_accept_top1,HOMBA:AA30424,HOMBA:AA30424,lobule Xa (flocculus),1.0,high_confidence,,HOMBA:AA30424,lobule Xa (flocculus),1.0,high_confidence
corpus,Fornix,llm_accept_top1,HOMBA:10576,HOMBA:10576,fornix,1.0,high_confidence,,HOMBA:10576,fornix,1.0,high_confidence
corpus,Fourth ventricle,llm_accept_top1,HOMBA:12805,HOMBA:12805,fourth ventricle,1.0,high_confidence,,HOMBA:12805,fourth ventricle,1.0,high_confidence
corpus,Fusiform gyrus,llm_accept_top1,HOMBA:AA30549,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,1.0,high_confidence,,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,1.0,high_confidence
corpus,Globose nucleus,llm_accept_top1,HOMBA:12400,HOMBA:12400,medial interpositus (globose) nucleus,1.0,high_confidence,,HOMBA:12400,medial interpositus (globose) nucleus,1.0,high_confidence
corpus,Gracile fasciculus,llm_accept_top1,HOMBA:12739,HOMBA:12739,gracile fasciculus,1.0,high_confidence,,HOMBA:12739,gracile fasciculus,1.0,high_confidence
corpus,Gracile nucleus,llm_accept_top1,HOMBA:12592,HOMBA:12592,gracile nucleus,1.0,high_confidence,,HOMBA:12592,gracile nucleus,1.0,high_confidence
corpus,Gyrus rectus,llm_accept_top1,HOMBA:12121,HOMBA:12121,rectus gyrus,1.0,high_confidence,,HOMBA:12121,rectus gyrus,1.0,high_confidence
corpus,Heschl gyrus,llm_accept_top1,HOMBA:12144,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),1.0,high_confidence,,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),1.0,high_confidence
corpus,Heschl's gyrus,llm_accept_top1,HOMBA:12144,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),1.0,high_confidence,,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),1.0,high_confidence
corpus,Hippocampal formation,llm_accept_top1,HOMBA:12170,HOMBA:12170,hippocampal formation,1.0,high_confidence,,HOMBA:12170,hippocampal formation,1.0,high_confidence
corpus,Hippocampus,llm_accept_top1,HOMBA:AA30093,HOMBA:AA30093,hippocampus,1.0,high_confidence,,HOMBA:AA30093,hippocampus,1.0,high_confidence
corpus,Hypoglossal nucleus,llm_accept_top1,HOMBA:12545,HOMBA:12545,hypoglossal nucleus,1.0,high_confidence,,HOMBA:12545,hypoglossal nucleus,1.0,high_confidence
corpus,Inferior cerebellar peduncle,llm_accept_top1,HOMBA:12741,HOMBA:12741,inferior cerebellar peduncle,1.0,high_confidence,,HOMBA:12741,inferior cerebellar peduncle,1.0,high_confidence
corpus,Inferior colliculus,llm_accept_top1,HOMBA:12305,HOMBA:12305,inferior colliculus,1.0,high_confidence,,HOMBA:12305,inferior colliculus,1.0,high_confidence
corpus,Inferior frontal gyrus (opercular part),llm_accept_top1,HOMBA:12119,HOMBA:12119,"inferior frontal gyrus, opercular part",1.0,high_confidence,,HOMBA:12119,"inferior frontal gyrus, opercular part",1.0,high_confidence
corpus,Inferior frontal gyrus (triangular part),llm_accept_top1,HOMBA:12118,HOMBA:12118,"inferior frontal gyrus, triangular part",1.0,high_confidence,,HOMBA:12118,"inferior frontal gyrus, triangular part",1.0,high_confidence
corpus,Inferior longitudinal fasciculus,llm_accept_top1,HOMBA:10580,HOMBA:10580,inferior longitudinal fasciculus,1.0,high_confidence,,HOMBA:10580,inferior longitudinal fasciculus,1.0,high_confidence
corpus,Inferior occipital gyrus,llm_accept_top1,HOMBA:12153,HOMBA:12153,inferior occipital gyrus,1.0,high_confidence,,HOMBA:12153,inferior occipital gyrus,1.0,high_confidence
corpus,Inferior olive,llm_accept_top1,HOMBA:12600,HOMBA:12600,inferior olive,1.0,high_confidence,,HOMBA:12600,inferior olive,1.0,high_confidence
corpus,Inferior parietal lobule,llm_accept_top1,HOMBA:12134,HOMBA:12134,inferior parietal lobule (gyrus),1.0,high_confidence,,HOMBA:12134,inferior parietal lobule (gyrus),1.0,high_confidence
corpus,Inferior pulvinar,llm_accept_top1,HOMBA:10413,HOMBA:10413,inferior division of pulvinar,1.0,high_confidence,,HOMBA:10413,inferior division of pulvinar,1.0,high_confidence
corpus,Inferior salivatory nucleus,llm_accept_top1,HOMBA:12544,HOMBA:12544,inferior salivatory nucleus,1.0,high_confidence,,HOMBA:12544,inferior salivatory nucleus,1.0,high_confidence
corpus,Inferior temporal gyrus,llm_accept_top1,HOMBA:12142,HOMBA:12142,inferior temporal gyrus,1.0,high_confidence,,HOMBA:12142,inferior temporal gyrus,1.0,high_confidence
corpus,Insula,llm_accept_top1,HOMBA:12176,HOMBA:12176,insular lobe,1.0,high_confidence,,HOMBA:12176,insular lobe,1.0,high_confidence
corpus,Intermediate reticular zone,llm_accept_top1,HOMBA:12620,HOMBA:12620,intermediate reticular nucleus,1.0,high_confidence,,HOMBA:12620,intermediate reticular nucleus,1.0,high_confidence
corpus,Internal capsule,llm_accept_top1,HOMBA:10581,HOMBA:10581,internal capsule,1.0,high_confidence,,HOMBA:10581,internal capsule,1.0,high_confidence
corpus,Lateral geniculate nucleus,llm_accept_top1,HOMBA:10429,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),1.0,high_confidence,,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),1.0,high_confidence
corpus,Lateral parabrachial nucleus,llm_accept_top1,HOMBA:12482,HOMBA:12482,lateral parabrachial nucleus,1.0,high_confidence,,HOMBA:12482,lateral parabrachial nucleus,1.0,high_confidence
corpus,Lateral posterior thalamic nucleus,llm_accept_top1,HOMBA:10408,HOMBA:10408,lateral posterior nucleus of thalamus,1.0,high_confidence,,HOMBA:10408,lateral posterior nucleus of thalamus,1.0,high_confidence
corpus,Lateral pulvinar,llm_accept_top1,HOMBA:10412,HOMBA:10412,lateral division of pulvinar,0.9784,high_confidence,,HOMBA:10412,lateral division of pulvinar,0.9784,high_confidence
corpus,Lenticular nucleus (putamen),llm_accept_top1,HOMBA:10338,HOMBA:10338,putamen (lateroventral division of the CP),1.0,high_confidence,,HOMBA:10338,putamen (lateroventral division of the CP),1.0,high_confidence
corpus,Limen insulae,llm_accept_top1,HOMBA:12179,HOMBA:12179,limen insula,1.0,high_confidence,,HOMBA:12179,limen insula,1.0,high_confidence
corpus,Lingual gyrus,llm_accept_top1,HOMBA:12151,HOMBA:12151,lingual gyrus,1.0,high_confidence,,HOMBA:12151,lingual gyrus,1.0,high_confidence
corpus,Locus coeruleus,llm_accept_top1,HOMBA:12499,HOMBA:12499,nucleus coeruleus (locus coeruleus),1.0,high_confidence,,HOMBA:12499,nucleus coeruleus (locus coeruleus),1.0,high_confidence
corpus,Mammillary body,llm_accept_top1,HOMBA:15546,HOMBA:15546,mammillary body,1.0,high_confidence,,HOMBA:15546,mammillary body,1.0,high_confidence
corpus,Mammillothalamic tract,llm_accept_top1,HOMBA:10586,HOMBA:10586,mammillothalamic tract,1.0,high_confidence,,HOMBA:10586,mammillothalamic tract,1.0,high_confidence
corpus,Medial geniculate nucleus,llm_accept_top1,HOMBA:10434,HOMBA:10434,medial geniculate nucleus,1.0,high_confidence,,HOMBA:10434,medial geniculate nucleus,1.0,high_confidence
corpus,Medial lemniscus,llm_accept_top1,HOMBA:12763,HOMBA:12763,medial lemniscus,1.0,high_confidence,,HOMBA:12763,medial lemniscus,1.0,high_confidence
corpus,Medial longitudinal fasciculus,llm_accept_top1,HOMBA:12764,HOMBA:12764,medial longitudinal fasciculus,1.0,high_confidence,,HOMBA:12764,medial longitudinal fasciculus,1.0,high_confidence
corpus,Medial parabrachial nucleus,llm_accept_top1,HOMBA:12487,HOMBA:12487,medial parabrachial nucleus,1.0,high_confidence,,HOMBA:12487,medial parabrachial nucleus,1.0,high_confidence
corpus,Medial pulvinar,llm_accept_top1,HOMBA:10411,HOMBA:10411,medial division of pulvinar,0.9757,high_confidence,,HOMBA:10411,medial division of pulvinar,0.9757,high_confidence
corpus,Medial superior temporal area,llm_accept_top1,HOMBA:AA30021,HOMBA:AA30021,medial superior temporal area,1.0,high_confidence,,HOMBA:AA30021,medial superior temporal area,1.0,high_confidence
corpus,Median raphe,llm_accept_top1,HOMBA:12235,HOMBA:12235,median raphe nucleus,1.0,high_confidence,,HOMBA:12235,median raphe nucleus,1.0,high_confidence
corpus,Mediodorsal thalamic nucleus,llm_accept_top1,HOMBA:10398,HOMBA:10398,mediodorsal nucleus of thalamus,1.0,high_confidence,,HOMBA:10398,mediodorsal nucleus of thalamus,1.0,high_confidence
corpus,Middle cerebellar peduncle,llm_accept_top1,HOMBA:12768,HOMBA:12768,middle cerebellar peduncle (brachium pontis),1.0,high_confidence,,HOMBA:12768,middle cerebellar peduncle (brachium pontis),1.0,high_confidence
corpus,Middle frontal gyrus,llm_accept_top1,HOMBA:12116,HOMBA:12116,middle frontal gyrus,1.0,high_confidence,,HOMBA:12116,middle frontal gyrus,1.0,high_confidence
corpus,Middle temporal area,llm_accept_top1,HOMBA:267499039,HOMBA:267499039,"fifth visual area (middle temporal area, MT)",1.0,high_confidence,,HOMBA:267499039,"fifth visual area (middle temporal area, MT)",1.0,high_confidence
corpus,Middle temporal gyrus,llm_accept_top1,HOMBA:12141,HOMBA:12141,middle temporal gyrus,1.0,high_confidence,,HOMBA:12141,middle temporal gyrus,1.0,high_confidence
corpus,Motor trigeminal nucleus,llm_accept_top1,HOMBA:12429,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",1.0,high_confidence,,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",1.0,high_confidence
corpus,Nucleus accumbens,llm_accept_top1,HOMBA:10339,HOMBA:10339,nucleus accumbens,1.0,high_confidence,,HOMBA:10339,nucleus accumbens,1.0,high_confidence
corpus,Nucleus ambiguus,llm_accept_top1,HOMBA:12540,HOMBA:12540,ambiguus nucleus,1.0,high_confidence,,HOMBA:12540,ambiguus nucleus,1.0,high_confidence
corpus,Nucleus of the solitary tract,llm_accept_top1,HOMBA:12557,HOMBA:12557,solitary nucleus,1.0,high_confidence,,HOMBA:12557,solitary nucleus,1.0,high_confidence
corpus,Obex,llm_accept_top1,HOMBA:12812,HOMBA:12812,obex,1.0,high_confidence,,HOMBA:12812,obex,1.0,high_confidence
corpus,Occipital pole,llm_accept_top1,HOMBA:12149,HOMBA:12149,occipital pole,1.0,high_confidence,,HOMBA:12149,occipital pole,1.0,high_confidence
corpus,Oculomotor nucleus,llm_accept_top1,HOMBA:12198,HOMBA:12198,oculomotor nucleus,1.0,high_confidence,,HOMBA:12198,oculomotor nucleus,1.0,high_confidence
corpus,Optic chiasm,llm_accept_top1,HOMBA:10644,HOMBA:10644,optic chiasm,1.0,high_confidence,,HOMBA:10644,optic chiasm,1.0,high_confidence
corpus,Optic tract,llm_accept_top1,HOMBA:10589,HOMBA:10589,optic tract,1.0,high_confidence,,HOMBA:10589,optic tract,1.0,high_confidence
corpus,Paracingulate gyrus,llm_accept_top1,HOMBA:146034872,HOMBA:146034872,paracingulate gyrus,1.0,high_confidence,,HOMBA:146034872,paracingulate gyrus,1.0,high_confidence
corpus,Parahippocampal gyrus,llm_accept_top1,HOMBA:12162,HOMBA:12162,parahippocampal gyrus,1.0,high_confidence,,HOMBA:12162,parahippocampal gyrus,1.0,high_confidence
corpus,Parahippocampal gyrus (anterior),llm_accept_top1,HOMBA:12163,HOMBA:12163,anterior parahippocampal gyrus,1.0,high_confidence,,HOMBA:12163,anterior parahippocampal gyrus,1.0,high_confidence
corpus,Parahippocampal gyrus (posterior),llm_accept_top1,HOMBA:12164,HOMBA:12164,posterior parahippocampal gyrus,1.0,high_confidence,,HOMBA:12164,posterior parahippocampal gyrus,1.0,high_confidence
corpus,Periamygdaloid cortex,llm_accept_top1,HOMBA:AA30225,HOMBA:AA30225,periamygdaloid cortex,1.0,high_confidence,,HOMBA:AA30225,periamygdaloid cortex,1.0,high_confidence
corpus,Pineal gland,llm_accept_top1,HOMBA:10460,HOMBA:10460,pineal body,1.0,high_confidence,,HOMBA:10460,pineal body,1.0,high_confidence
corpus,Planum polare,llm_accept_top1,HOMBA:12147,HOMBA:12147,planum polare,1.0,high_confidence,,HOMBA:12147,planum polare,1.0,high_confidence
corpus,Planum temporale,llm_accept_top1,HOMBA:12145,HOMBA:12145,planum temporale,1.0,high_confidence,,HOMBA:12145,planum temporale,1.0,high_confidence
corpus,Pontobulbar nucleus,llm_accept_top1,HOMBA:12614,HOMBA:12614,pontobulbar nucleus,1.0,high_confidence,,HOMBA:12614,pontobulbar nucleus,1.0,high_confidence
corpus,Postcentral gyrus,llm_accept_top1,HOMBA:12132,HOMBA:12132,postcentral gyrus,1.0,high_confidence,,HOMBA:12132,postcentral gyrus,1.0,high_confidence
corpus,Posterior cingulate gyrus,llm_accept_top1,HOMBA:10285,HOMBA:10285,posterior cingulate cortex (PCC),1.0,high_confidence,,HOMBA:10285,posterior cingulate cortex (PCC),1.0,high_confidence
corpus,Posterior commissure,llm_accept_top1,HOMBA:10567,HOMBA:10567,posterior commissure,1.0,high_confidence,,HOMBA:10567,posterior commissure,1.0,high_confidence
corpus,Posterior thalamic nucleus,llm_accept_top1,HOMBA:10440,HOMBA:10440,posterior nucleus of thalamus,1.0,high_confidence,,HOMBA:10440,posterior nucleus of thalamus,1.0,high_confidence
corpus,Precentral gyrus,llm_accept_top1,HOMBA:12114,HOMBA:12114,precentral gyrus,1.0,high_confidence,,HOMBA:12114,precentral gyrus,1.0,high_confidence
corpus,Precuneus,llm_accept_top1,HOMBA:12137,HOMBA:12137,precuneaus (gyrus),1.0,high_confidence,,HOMBA:12137,precuneaus (gyrus),1.0,high_confidence
corpus,Prepositus nucleus,llm_accept_top1,HOMBA:12615,HOMBA:12615,prepositus hypoglossal nucleus,1.0,high_confidence,,HOMBA:12615,prepositus hypoglossal nucleus,1.0,high_confidence
corpus,Presubiculum,llm_accept_top1,HOMBA:10315,HOMBA:10315,presubiculum (presubicular cortex),1.0,high_confidence,,HOMBA:10315,presubiculum (presubicular cortex),1.0,high_confidence
corpus,Primary auditory cortex,llm_accept_top1,HOMBA:10236,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",1.0,high_confidence,,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",1.0,high_confidence
corpus,Primary motor cortex,llm_accept_top1,HOMBA:10163,HOMBA:10163,"primary motor cortex (first motor cortex, area 4, area FA)",1.0,high_confidence,,HOMBA:10163,"primary motor cortex (first motor cortex, area 4, area FA)",1.0,high_confidence
corpus,Primary visual cortex,llm_accept_top1,HOMBA:10269,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",1.0,high_confidence,,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",1.0,high_confidence
corpus,Principal sensory trigeminal nucleus,llm_accept_top1,HOMBA:12444,HOMBA:12444,principal sensory nucleus of trigeminal nerve,1.0,high_confidence,,HOMBA:12444,principal sensory nucleus of trigeminal nerve,1.0,high_confidence
corpus,Pulvinar,llm_accept_top1,HOMBA:10409,HOMBA:10409,pulvinar of thalamus,1.0,high_confidence,,HOMBA:10409,pulvinar of thalamus,1.0,high_confidence
corpus,Pulvinar nucleus,llm_accept_top1,HOMBA:10409,HOMBA:10409,pulvinar of thalamus,1.0,high_confidence,,HOMBA:10409,pulvinar of thalamus,1.0,high_confidence
corpus,Putamen,llm_accept_top1,HOMBA:10338,HOMBA:10338,putamen (lateroventral division of the CP),1.0,high_confidence,,HOMBA:10338,putamen (lateroventral division of the CP),1.0,high_confidence
corpus,Pyramidal decussation,llm_accept_top1,HOMBA:12772,HOMBA:12772,pyramidal decussation,1.0,high_confidence,,HOMBA:12772,pyramidal decussation,1.0,high_confidence
corpus,Raphe magnus,llm_accept_top1,HOMBA:12642,HOMBA:12642,raphe magnus nucleus,1.0,high_confidence,,HOMBA:12642,raphe magnus nucleus,1.0,high_confidence
corpus,Raphe obscurus,llm_accept_top1,HOMBA:12643,HOMBA:12643,raphe obscurus nucleus,1.0,high_confidence,,HOMBA:12643,raphe obscurus nucleus,1.0,high_confidence
corpus,Red nucleus,llm_accept_top1,HOMBA:12247,HOMBA:12247,red nucleus,1.0,high_confidence,,HOMBA:12247,red nucleus,1.0,high_confidence
corpus,Retroinsular cortex,llm_accept_top1,HOMBA:13323,HOMBA:13323,retroinsular cortex,1.0,high_confidence,,HOMBA:13323,retroinsular cortex,1.0,high_confidence
corpus,Retrosplenial cortex,llm_accept_top1,HOMBA:10324,HOMBA:10324,retrosplenial cortex,1.0,high_confidence,,HOMBA:10324,retrosplenial cortex,1.0,high_confidence
corpus,Roots of the abducens nerve,llm_accept_top1,HOMBA:12861,HOMBA:12861,root of abducens nerve,1.0,high_confidence,,HOMBA:12861,root of abducens nerve,1.0,high_confidence
corpus,Roots of the facial nerve,llm_accept_top1,HOMBA:12862,HOMBA:12862,root of facial nerve,1.0,high_confidence,,HOMBA:12862,root of facial nerve,1.0,high_confidence
corpus,Roots of the trigeminal nerve,llm_accept_top1,HOMBA:12865,HOMBA:12865,root of trigeminal nerve,1.0,high_confidence,,HOMBA:12865,root of trigeminal nerve,1.0,high_confidence
corpus,Septal area,llm_accept_top1,HOMBA:10350,HOMBA:10350,septal region (septal nuclear complex),1.0,high_confidence,,HOMBA:10350,septal region (septal nuclear complex),1.0,high_confidence
corpus,Solitary tract,llm_accept_top1,HOMBA:12783,HOMBA:12783,solitary tract,1.0,high_confidence,,HOMBA:12783,solitary tract,1.0,high_confidence
corpus,Spinal trigeminal nucleus,llm_accept_top1,HOMBA:12572,HOMBA:12572,spinal trigeminal nucleus,1.0,high_confidence,,HOMBA:12572,spinal trigeminal nucleus,1.0,high_confidence
corpus,Spinal trigeminal nucleus (caudalis),llm_accept_top1,HOMBA:12573,HOMBA:12573,"spinal trigeminal nucleus, caudal division",1.0,high_confidence,,HOMBA:12573,"spinal trigeminal nucleus, caudal division",1.0,high_confidence
corpus,Spinal trigeminal nucleus (interpolaris),llm_accept_top1,HOMBA:12578,HOMBA:12578,"spinal trigeminal nucleus, interpolar division",1.0,high_confidence,,HOMBA:12578,"spinal trigeminal nucleus, interpolar division",1.0,high_confidence
corpus,Spinal trigeminal tract,llm_accept_top1,HOMBA:12792,HOMBA:12792,spinal trigeminal tract,1.0,high_confidence,,HOMBA:12792,spinal trigeminal tract,1.0,high_confidence
corpus,Spinothalamic tract,llm_accept_top1,HOMBA:12789,HOMBA:12789,spinothalamic tract,1.0,high_confidence,,HOMBA:12789,spinothalamic tract,1.0,high_confidence
corpus,Subiculum,llm_accept_top1,HOMBA:10302,HOMBA:10302,subiculum proper (strictly defined subiculum),1.0,high_confidence,,HOMBA:10302,subiculum proper (strictly defined subiculum),1.0,high_confidence
corpus,Substantia nigra,llm_accept_top1,HOMBA:12251,HOMBA:12251,substantia nigra,1.0,high_confidence,,HOMBA:12251,substantia nigra,1.0,high_confidence
corpus,Subthalamic nucleus,llm_accept_top1,HOMBA:10466,HOMBA:10466,subthalamic nucleus,1.0,high_confidence,,HOMBA:10466,subthalamic nucleus,1.0,high_confidence
corpus,Superior cerebellar peduncle,llm_accept_top1,HOMBA:12354,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),1.0,high_confidence,,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),1.0,high_confidence
corpus,Superior cerebellar peduncle (decussation),llm_accept_top1,HOMBA:12337,HOMBA:12337,decussation of superior cerebellar peduncle,1.0,high_confidence,,HOMBA:12337,decussation of superior cerebellar peduncle,1.0,high_confidence
corpus,Superior colliculus,llm_accept_top1,HOMBA:12292,HOMBA:12292,superior colliculus,1.0,high_confidence,,HOMBA:12292,superior colliculus,1.0,high_confidence
corpus,Superior occipital gyrus,llm_accept_top1,HOMBA:12154,HOMBA:12154,superior occipital gyrus,1.0,high_confidence,,HOMBA:12154,superior occipital gyrus,1.0,high_confidence
corpus,Superior salivatory nucleus,llm_accept_top1,HOMBA:12435,HOMBA:12435,superior salivatory nucleus,1.0,high_confidence,,HOMBA:12435,superior salivatory nucleus,1.0,high_confidence
corpus,Superior temporal gyrus,llm_accept_top1,HOMBA:12140,HOMBA:12140,superior temporal gyrus,1.0,high_confidence,,HOMBA:12140,superior temporal gyrus,1.0,high_confidence
