dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check,review_record_id,source_file,source_row,pass1_label,pass1_certainty,pass1_confidence,pass1_reason,pass2_label,pass2_certainty,pass2_confidence,pass2_reason,pass3_label,pass3_certainty,pass3_confidence,pass3_reason,final_consistency_label,final_certainty,final_confidence,vote_agreement,has_vote_disagreement,vote_split_pattern,uncertainty_tag,final_reason,_category,_mechanism
corpus,Area 43,high_confidence,1.0,HOMBA:AA30017,caudal division of subcentral cortex (area 43),bm25+exact+fuzzy,Area 43,Area 43,,1.0,rostral division of subcentral cortex (area 43),1.0,questionable,398,2_highconf_incorrect.csv,2,aligned,high,1.0,"top1_name includes 'area 43' explicitly, aligning with query 'Area 43'.",aligned,high,1.0,"Top1 includes 'area 43' explicitly, directly matching the query.",aligned,high,1.0,"'Area 43' matches Brodmann area 43, exactly the top1 name with its parenthetical synonym.",aligned,high,1.0,3/3,False,3-0,stable,"top1_name includes 'area 43' explicitly, aligning with query 'Area 43'. | Top1 includes 'area 43' explicitly, directly matching the query. | 'Area 43' matches Brodmann area 43, exactly the top1 name with its parenthetical synonym.",,
species,Lateral olfactory tract,high_confidence,0.9975,HOMBA:10309,nucleus of lateral olfactory tract,bm25+fuzzy,Lateral olfactory tract,nucleus of lateral olfactory tract,lateral,1.0,olfactory tract,0.742101,questionable,409,2_highconf_incorrect.csv,13,wrong,high,0.95,"Query is a tract (lateral olfactory tract), top1 is a nucleus (nucleus of lateral olfactory tract). Different anatomical structures.",wrong,high,1.0,"Query is a tract (fiber bundle), top1 is a nucleus; these are anatomically distinct structures.",wrong,high,1.0,"Query is the lateral olfactory tract (fiber bundle); top1 is the nucleus of the lateral olfactory tract, a distinct cell group.",wrong,high,0.9833,3/3,False,3-0,stable,"Query is a tract (lateral olfactory tract), top1 is a nucleus (nucleus of lateral olfactory tract). Different anatomical structures. | Query is a tract (fiber bundle), top1 is a nucleus; these are anatomically distinct structures. | Query is the lateral olfactory tract (fiber bundle); top1 is the nucleus of the lateral olfactory tract, a distinct cell group.",,
species,Medial parietal cortex,high_confidence,0.9975,HOMBA:10215,superior medial parietal cortex,bm25+fuzzy,Medial parietal cortex,superior medial parietal cortex,medial,1.0,medial (caudal) entorhinal cortex,0.395176,questionable,410,2_highconf_incorrect.csv,14,partial_or_narrower,high,0.95,"top1 is a subdivision (superior part) of the queried medial parietal cortex, thus narrower.",partial_or_narrower,high,0.95,"Top1 names a subdivision (superior part) of the query's medial parietal cortex, so it is narrower.",partial_or_narrower,high,0.95,"top1 is superior medial parietal cortex, a specific subregion of the broader medial parietal cortex queried.",partial_or_narrower,high,0.95,3/3,False,3-0,stable,"top1 is a subdivision (superior part) of the queried medial parietal cortex, thus narrower. | Top1 names a subdivision (superior part) of the query's medial parietal cortex, so it is narrower. | top1 is superior medial parietal cortex, a specific subregion of the broader medial parietal cortex queried.",,
species,"Ventral cochlear nucleus, cap area",high_confidence,0.9975,HOMBA:12439,ventral cochlear nucleus,bm25+fuzzy,"Ventral cochlear nucleus, cap area",ventral cochlear nucleus,ventral,1.0,"ventral cochlear nucleus, caudal division",0.872049,correct_parent,411,2_highconf_incorrect.csv,15,broader_parent,high,0.98,Query specifies cap area of ventral cochlear nucleus; top1 is the parent structure without the subregion.,broader_parent,high,0.95,"Top1 is the whole ventral cochlear nucleus, while query specified its cap area; top1 is parent structure.",broader_parent,high,0.95,query specifies the cap area of the ventral cochlear nucleus; top1 returns the entire nucleus (broader parent).,broader_parent,high,0.96,3/3,False,3-0,stable,"Query specifies cap area of ventral cochlear nucleus; top1 is the parent structure without the subregion. | Top1 is the whole ventral cochlear nucleus, while query specified its cap area; top1 is parent structure. | query specifies the cap area of the ventral cochlear nucleus; top1 returns the entire nucleus (broader parent).",,
species,"Inferior colliculus, dorsal cortex",high_confidence,0.972659,HOMBA:12307,dorsal central nucleus of inferior colliculus,bm25+fuzzy,"Inferior colliculus, dorsal cortex",dorsal cortex of inferior colliculus,dorsal,1.0,inferior colliculus,0.655,questionable,412,2_highconf_incorrect.csv,16,wrong,medium,0.7,"Query asks for dorsal cortex of inferior colliculus, but top1 is dorsal central nucleus, a different subregion.",wrong,high,0.95,"Top1 is dorsal central nucleus of inferior colliculus, not the dorsal cortex as queried; different subregion.",wrong,high,0.95,dorsal cortex of inferior colliculus is not the same as dorsal central nucleus; they are distinct subdivisions.,wrong,high,0.8667,3/3,False,3-0,stable,"Query asks for dorsal cortex of inferior colliculus, but top1 is dorsal central nucleus, a different subregion. | Top1 is dorsal central nucleus of inferior colliculus, not the dorsal cortex as queried; different subregion. | dorsal cortex of inferior colliculus is not the same as dorsal central nucleus; they are distinct subdivisions.",,
species,"Ventral cochlear nucleus, anterior part",high_confidence,0.968684,HOMBA:12439,ventral cochlear nucleus,bm25+fuzzy,"Ventral cochlear nucleus, anterior part",ventral cochlear nucleus,ventral,1.0,"ventral cochlear nucleus, rostral division",0.829934,correct_parent,413,2_highconf_incorrect.csv,17,broader_parent,high,0.98,Query specifies anterior part of ventral cochlear nucleus; top1 is the broader ventral cochlear nucleus.,broader_parent,high,0.95,"Top1 is the whole ventral cochlear nucleus, while query asked for anterior part; parent structure.",broader_parent,high,0.95,query specifies anterior part of ventral cochlear nucleus; top1 is the entire nucleus (broader parent).,broader_parent,high,0.96,3/3,False,3-0,stable,"Query specifies anterior part of ventral cochlear nucleus; top1 is the broader ventral cochlear nucleus. | Top1 is the whole ventral cochlear nucleus, while query asked for anterior part; parent structure. | query specifies anterior part of ventral cochlear nucleus; top1 is the entire nucleus (broader parent).",,
species,Lateral hypothalamic area,high_confidence,0.967588,HOMBA:10494,"lateral hypothalamic area, tuberal part",bm25+fuzzy,Lateral hypothalamic area,tuberal part lateral hypothalamic area,lateral,1.0,"lateral  hypothalamic area, mammillary part",0.931484,questionable,414,2_highconf_incorrect.csv,18,partial_or_narrower,high,0.95,"Query is lateral hypothalamic area; top1 is a specific part (tuberal part), so narrower.",partial_or_narrower,high,0.95,Top1 is a specific subdivision (tuberal part) of the broader lateral hypothalamic area queried.,partial_or_narrower,high,0.95,"top1 is tuberal part of lateral hypothalamic area, a narrower subregion of the queried broader area.",partial_or_narrower,high,0.95,3/3,False,3-0,stable,"Query is lateral hypothalamic area; top1 is a specific part (tuberal part), so narrower. | Top1 is a specific subdivision (tuberal part) of the broader lateral hypothalamic area queried. | top1 is tuberal part of lateral hypothalamic area, a narrower subregion of the queried broader area.",,
species,Posterior interstitial nucleus of the anterior commissure,high_confidence,0.956666,HOMBA:12194,interstitial nucleus of posterior commissure (nucleus of posterior commissure),bm25+fuzzy,Posterior interstitial nucleus of the anterior commissure,interstitial nucleus of posterior commissure,posterior,1.0,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),0.94138,questionable,415,2_highconf_incorrect.csv,19,wrong,high,0.95,"Query specifies anterior commissure, top1 returns posterior commissure; these are different structures.",wrong,high,0.95,"Query specifies anterior commissure; top1 is interstitial nucleus of posterior commissure, which is anatomically distinct.",wrong,high,0.99,Query refers to nucleus near anterior commissure; top1 is nucleus of posterior commissure. Distinct structures.,wrong,high,0.9633,3/3,False,3-0,stable,"Query specifies anterior commissure, top1 returns posterior commissure; these are different structures. | Query specifies anterior commissure; top1 is interstitial nucleus of posterior commissure, which is anatomically distinct. | Query refers to nucleus near anterior commissure; top1 is nucleus of posterior commissure. Distinct structures.",,
species,Internal globus pallidus,high_confidence,0.938625,HOMBA:10342,globus pallidus (paleostriatum),bm25+fuzzy+hierarchy_parent,Internal globus pallidus,globus pallidus (paleostriatum),,1.0,internal division of globus pallidus,0.858625,questionable,416,2_highconf_incorrect.csv,20,broader_parent,high,0.95,Internal globus pallidus is a subdivision of globus pallidus; top1 is the parent structure.,broader_parent,high,0.95,"Query refers to internal segment; top1 is the whole globus pallidus, which is a broader anatomical structure but correct parent.",broader_parent,high,0.96,"'Internal globus pallidus' is GPi, a subdivision of globus pallidus; top1 is the full pallidum, a broader parent.",broader_parent,high,0.9533,3/3,False,3-0,stable,"Internal globus pallidus is a subdivision of globus pallidus; top1 is the parent structure. | Query refers to internal segment; top1 is the whole globus pallidus, which is a broader anatomical structure but correct parent. | 'Internal globus pallidus' is GPi, a subdivision of globus pallidus; top1 is the full pallidum, a broader parent.",,
species,Ansiform Lobule Crus1,high_confidence,0.936667,HOMBA:AA30411,lobule VII (semilunar-gracile lobule),bm25+hierarchy_parent,Ansiform Lobule Crus1,lobule VII (semilunar-gracile lobule),,1.0,lobule VIIA (semilunar lobule/ansiform lobule),0.856667,questionable,417,2_highconf_incorrect.csv,21,wrong,high,0.95,Ansiform lobule crus1 is a hemispheric cerebellar structure; lobule VII is vermian and not equivalent.,broader_parent,medium,0.8,"Query is Ansiform Lobule Crus1, which is a subdivision of lobule VII; top1 is lobule VII, a broader parent.",broader_parent,high,0.95,"'Ansiform Lobule Crus1' is part of ansiform lobule/lobule VII; top1 is lobule VII (parent), which contains both crura.",broader_parent,medium,0.9,2/3,True,2-1,majority_vote,"Ansiform lobule crus1 is a hemispheric cerebellar structure; lobule VII is vermian and not equivalent. | Query is Ansiform Lobule Crus1, which is a subdivision of lobule VII; top1 is lobule VII, a broader parent. | 'Ansiform Lobule Crus1' is part of ansiform lobule/lobule VII; top1 is lobule VII (parent), which contains both crura.",,
species,Ansiform Lobule Crus2,high_confidence,0.936667,HOMBA:AA30411,lobule VII (semilunar-gracile lobule),bm25+hierarchy_parent,Ansiform Lobule Crus2,lobule VII (semilunar-gracile lobule),,1.0,lobule VIIA (semilunar lobule/ansiform lobule),0.856667,questionable,418,2_highconf_incorrect.csv,22,wrong,high,0.95,"Ansiform lobule crus2 is hemispheric, not equivalent to vermian lobule VII.",broader_parent,medium,0.8,"Query is Ansiform Lobule Crus2, which is a subdivision of lobule VII; top1 is lobule VII, a broader parent.",broader_parent,high,0.95,"'Ansiform Lobule Crus2' is part of ansiform lobule/lobule VII; top1 is lobule VII (parent), which contains both crura.",broader_parent,medium,0.9,2/3,True,2-1,majority_vote,"Ansiform lobule crus2 is hemispheric, not equivalent to vermian lobule VII. | Query is Ansiform Lobule Crus2, which is a subdivision of lobule VII; top1 is lobule VII, a broader parent. | 'Ansiform Lobule Crus2' is part of ansiform lobule/lobule VII; top1 is lobule VII (parent), which contains both crura.",,
species,Posterior intralaminar nucleus,high_confidence,0.934768,HOMBA:10448,caudal intralaminar nuclei of thalamus,bm25+fuzzy,Posterior intralaminar nucleus,posterior group of intralaminar nucleus,posterior,1.0,posterior marginal (intralaminar) nucleus of thalamus (PIL),0.788928,questionable,419,2_highconf_incorrect.csv,23,broader_parent,high,0.95,Posterior intralaminar nucleus is part of the caudal intralaminar nuclei group; top1 is the broader group.,broader_parent,high,0.9,"Query is posterior intralaminar nucleus; top1 is broader group of caudal intralaminar nuclei, which includes the posterior part.",aligned,high,0.98,"'Posterior intralaminar nucleus' matches caudal/posterior intralaminar group; top1 is the same, just plural.",broader_parent,medium,0.9433,2/3,True,2-1,majority_vote,"Posterior intralaminar nucleus is part of the caudal intralaminar nuclei group; top1 is the broader group. | Query is posterior intralaminar nucleus; top1 is broader group of caudal intralaminar nuclei, which includes the posterior part. | 'Posterior intralaminar nucleus' matches caudal/posterior intralaminar group; top1 is the same, just plural.",,
species,"Inferior colliculus, central nucleus",high_confidence,0.933772,HOMBA:12305,inferior colliculus,bm25+hierarchy_parent,"Inferior colliculus, central nucleus",inferior colliculus,,1.0,central nucleus of inferior colliculus,0.853772,questionable,420,2_highconf_incorrect.csv,24,broader_parent,high,0.95,"Query specifies a subregion (central nucleus) of the inferior colliculus; top1 is the parent structure, anatomically correct.",broader_parent,high,0.95,Top1 returns the parent structure (inferior colliculus) for query referring to its central nucleus.,partial_or_narrower,high,0.95,"Query specifies central nucleus of inferior colliculus; top1 is only the broader inferior colliculus, missing the nucleus subdivision.",broader_parent,medium,0.95,2/3,True,2-1,majority_vote,"Query specifies a subregion (central nucleus) of the inferior colliculus; top1 is the parent structure, anatomically correct. | Top1 returns the parent structure (inferior colliculus) for query referring to its central nucleus. | Query specifies central nucleus of inferior colliculus; top1 is only the broader inferior colliculus, missing the nucleus subdivision.",,
species,"Lateral lemniscus, commissure",high_confidence,0.929524,HOMBA:12760,lateral lemniscus,bm25+fuzzy,"Lateral lemniscus, commissure",lateral lemniscus,lateral,1.0,nuclei of lateral lemniscus,0.730481,correct_parent,421,2_highconf_incorrect.csv,25,broader_parent,high,0.95,Query specifies commissure of lateral lemniscus; top1 is the broader lateral lemniscus.,broader_parent,high,0.95,"Query specifies commissure of lateral lemniscus; top1 is the whole lateral lemniscus, a valid parent.",partial_or_narrower,high,0.95,"Query requests commissure of lateral lemniscus; top1 is the lateral lemniscus itself, not the commissure.",broader_parent,medium,0.95,2/3,True,2-1,majority_vote,"Query specifies commissure of lateral lemniscus; top1 is the broader lateral lemniscus. | Query specifies commissure of lateral lemniscus; top1 is the whole lateral lemniscus, a valid parent. | Query requests commissure of lateral lemniscus; top1 is the lateral lemniscus itself, not the commissure.",,
species,Medial geniculate complex (medial division),high_confidence,0.923334,HOMBA:AA30307,medial geniculate nuclear complex,bm25+fuzzy,Medial geniculate complex,medial geniculate nuclear complex,medial,1.0,lateral geniculate nuclear complex,0.535495,questionable,422,2_highconf_incorrect.csv,26,broader_parent,high,0.95,Query specifies medial division of medial geniculate complex; top1 is the entire nuclear complex.,broader_parent,high,0.9,Top1 is the parent complex; query specifies a division within it.,partial_or_narrower,high,0.95,"Query specifies medial division of medial geniculate complex; top1 is the whole complex, not the specific division.",broader_parent,medium,0.9333,2/3,True,2-1,majority_vote,"Query specifies medial division of medial geniculate complex; top1 is the entire nuclear complex. | Top1 is the parent complex; query specifies a division within it. | Query specifies medial division of medial geniculate complex; top1 is the whole complex, not the specific division.",,
