dataset,query,top_homba_id,top_name,score,methods,final_label,pass1_label,pass3_label,pass3_reason,top3
species,"Anterior commissure, anterior limb",HOMBA:AA30484,rostral (anterior) branch of anterior commissure,0.88,bm25+exact+fuzzy,aligned,aligned,aligned,"'Anterior commissure, anterior limb' = rostral (anterior) branch; exact anatomical synonym.","[{""homba_id"": ""HOMBA:AA30484"", ""name"": ""rostral (anterior) branch of anterior commissure"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30485"", ""name"": ""caudal (posterior) branch of anterior commissure"", ""score"": 0.624026, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10582"", ""name"": ""rostral (anterior) limb of internal capsule"", ""score"": 0.426399, ""methods"": ""bm25""}]"
species,"Anterior commissure, posterior limb",HOMBA:AA30485,caudal (posterior) branch of anterior commissure,1.0,bm25+exact+fuzzy,aligned,aligned,aligned,"'Anterior commissure, posterior limb' = caudal (posterior) branch; precise synonym.","[{""homba_id"": ""HOMBA:AA30485"", ""name"": ""caudal (posterior) branch of anterior commissure"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30484"", ""name"": ""rostral (anterior) branch of anterior commissure"", ""score"": 0.602711, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10584"", ""name"": ""caudal limb of internal capsule"", ""score"": 0.391909, ""methods"": ""bm25""}]"
species,"Inferior colliculus, dorsal cortex",HOMBA:12305,inferior colliculus,0.88,bm25+exact+fuzzy,broader_parent,broader_parent,broader_parent,inferior colliculus is the parent structure of its dorsal cortex; broader but anatomically correct.,"[{""homba_id"": ""HOMBA:12305"", ""name"": ""inferior colliculus"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:12327"", ""name"": ""brachium of inferior colliculus"", ""score"": 0.657516, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:12308"", ""name"": ""external shell (cortex) of inferior colliculus"", ""score"": 0.635919, ""methods"": ""bm25+fuzzy""}]"
species,"Laterodorsal thalamic nucleus, dorsomedial part",HOMBA:10396,lateral dorsal nucleus of thalamus,1.0,bm25+exact+fuzzy,broader_parent,broader_parent,broader_parent,"Top1 is the entire lateral dorsal nucleus of thalamus; query asks for its dorsomedial part, so parent is correct but not the specific subdivision.","[{""homba_id"": ""HOMBA:10396"", ""name"": ""lateral dorsal nucleus of thalamus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30276"", ""name"": ""ventral midline nuclei of thalamus"", ""score"": 0.656645, ""methods"": ""hierarchy_parent""}, {""homba_id"": ""HOMBA:10443"", ""name"": ""rostral intralaminar nuclei of thalamus"", ""score"": 0.636098, ""methods"": ""hierarchy_parent""}]"
species,"Laterodorsal thalamic nucleus, ventrolateral part",HOMBA:10396,lateral dorsal nucleus of thalamus,1.0,bm25+exact+fuzzy,broader_parent,broader_parent,broader_parent,"Top1 is the entire lateral dorsal nucleus of thalamus; query asks for its ventrolateral part, so parent is correct but not the specific subdivision.","[{""homba_id"": ""HOMBA:10396"", ""name"": ""lateral dorsal nucleus of thalamus"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30289"", ""name"": ""ventroanterior-ventrolateral nuclear complex of thalamus"", ""score"": 0.648597, ""methods"": ""bm25+hierarchy_parent""}, {""homba_id"": ""HOMBA:10443"", ""name"": ""rostral intralaminar nuclei of thalamus"", ""score"": 0.636098, ""methods"": ""hierarchy_parent""}]"
species,Orbital cortex (ventrolateral),HOMBA:10194,orbital frontal cortex,0.88,bm25+exact+fuzzy,broader_parent,broader_parent,broader_parent,Orbital frontal cortex is the broader parent region containing ventrolateral orbital areas.,"[{""homba_id"": ""HOMBA:10194"", ""name"": ""orbital frontal cortex"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:13324"", ""name"": ""ventrolateral temporal cortex"", ""score"": 0.716, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10185"", ""name"": ""ventrolateral prefrontal cortex (Broca's area in dominant hemisphere)"", ""score"": 0.712038, ""methods"": ""bm25+fuzzy""}]"
species,Retrosplenial dysgranular area,HOMBA:10324,retrosplenial cortex,1.0,bm25+exact+fuzzy+hierarchy_parent,broader_parent,broader_parent,broader_parent,Retrosplenial dysgranular area is a cytoarchitectonic subdivision within retrosplenial cortex; top1 covers the broader region but is anatomically correct.,"[{""homba_id"": ""HOMBA:10324"", ""name"": ""retrosplenial cortex"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy+hierarchy_parent""}, {""homba_id"": ""HOMBA:10325"", ""name"": ""granular retrosplenial cortex (area 29, RSg)"", ""score"": 0.64715, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:10326"", ""name"": ""agranular retrosplenial cortex (area 30, RSag)"", ""score"": 0.645, ""methods"": ""bm25+fuzzy""}]"
species,"Secondary visual area, lateral part",HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",1.0,bm25+exact+fuzzy,wrong,wrong,wrong,"Query specifies the lateral part of secondary visual area; top1 refers to dorsal secondary visual cortex, a different subdivision, not matching lateral aspect.","[{""homba_id"": ""HOMBA:AA30823"", ""name"": ""dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30827"", ""name"": ""ventral secondary visual cortex (ventral area 18, ventral area OB, area 18b)"", ""score"": 0.625355, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:12835"", ""name"": ""secondary (post pyramidal) fissure"", ""score"": 0.223536, ""methods"": ""bm25""}]"
species,"Secondary visual area, medial part",HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",1.0,bm25+exact+fuzzy,wrong,wrong,aligned,Medial secondary visual area corresponds to dorsal secondary visual cortex (area 18a); accepted synonym.,"[{""homba_id"": ""HOMBA:AA30823"", ""name"": ""dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:AA30827"", ""name"": ""ventral secondary visual cortex (ventral area 18, ventral area OB, area 18b)"", ""score"": 0.625355, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:12835"", ""name"": ""secondary (post pyramidal) fissure"", ""score"": 0.223536, ""methods"": ""bm25""}]"
species,Ventral periolivary nuclei,HOMBA:12464,periolivary nuclei,0.88,bm25+exact+fuzzy,broader_parent,broader_parent,broader_parent,"Top1 'periolivary nuclei' is the parent collection of nuclei; query specifies its ventral subgroup, so the top1 is broader","[{""homba_id"": ""HOMBA:12464"", ""name"": ""periolivary nuclei"", ""score"": 0.88, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:12568"", ""name"": ""solitary nucleus, ventral division"", ""score"": 0.78137, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:AA30353"", ""name"": ""ventral premammillary nucleus"", ""score"": 0.743125, ""methods"": ""bm25+fuzzy""}]"
species,"Ventricular system, unspecified",HOMBA:10596,lateral ventricles,1.0,bm25+exact+fuzzy,partial_or_narrower,partial_or_narrower,partial_or_narrower,"Lateral ventricles are only one component of the ventricular system, not the whole.","[{""homba_id"": ""HOMBA:10596"", ""name"": ""lateral ventricles"", ""score"": 1.0, ""methods"": ""bm25+exact+fuzzy""}, {""homba_id"": ""HOMBA:10598"", ""name"": ""body of lateral ventricles"", ""score"": 0.5934, ""methods"": ""bm25+fuzzy""}, {""homba_id"": ""HOMBA:266441657"", ""name"": ""atrium of lateral ventricles"", ""score"": 0.575893, ""methods"": ""bm25+fuzzy""}]"
