record_id,dataset,query,role,baseline_top1_id,baseline_top1_name,improved_top1_id,improved_top1_name,flash_label,flash_confidence,flash_reason,pro_label,pro_confidence,pro_reason,final_label,final_confidence,final_reason,used_pro
10,corpus,Area postrema,llm_accept_top1,HOMBA:12807,area postrema,HOMBA:12807,area postrema,no_material_change,1.0,Both baseline and improved candidate names are identical: 'area postrema'.,,,,no_material_change,1.0,Both baseline and improved candidate names are identical: 'area postrema'.,
11,corpus,Brachium conjunctivum,llm_accept_top1,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),no_material_change,1.0,Both baseline and improved candidate names are identical: 'superior cerebellar peduncle (brachium conjunctivum)'.,,,,no_material_change,1.0,Both baseline and improved candidate names are identical: 'superior cerebellar peduncle (brachium conjunctivum)'.,
12,corpus,CA1,llm_accept_top1,HOMBA:10297,CA1 region of hippocampus,HOMBA:10297,CA1 region of hippocampus,no_material_change,1.0,Both baseline and improved candidate names are identical: 'CA1 region of hippocampus'.,,,,no_material_change,1.0,Both baseline and improved candidate names are identical: 'CA1 region of hippocampus'.,
13,corpus,CA2,llm_accept_top1,HOMBA:10298,CA2 region of hippocampus,HOMBA:10298,CA2 region of hippocampus,no_material_change,1.0,Both baseline and improved candidate names are identical: 'CA2 region of hippocampus'.,,,,no_material_change,1.0,Both baseline and improved candidate names are identical: 'CA2 region of hippocampus'.,
14,corpus,CA3,llm_accept_top1,HOMBA:10299,CA3 region of hippocampus,HOMBA:10299,CA3 region of hippocampus,no_material_change,1.0,Both baseline and improved candidate names are identical: 'CA3 region of hippocampus'.,,,,no_material_change,1.0,Both baseline and improved candidate names are identical: 'CA3 region of hippocampus'.,
15,corpus,Caudate nucleus,llm_accept_top1,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),HOMBA:10334,caudate nucleus (mediodorsal division of the CP),no_material_change,1.0,baseline and improved are identical and correctly match query,,,,no_material_change,1.0,baseline and improved are identical and correctly match query,
16,corpus,Cerebellar cortex (Purkinje cell layer),llm_accept_top1,HOMBA:AA30428,Purkinje cell layer of cerebellar cortex,HOMBA:AA30428,Purkinje cell layer of cerebellar cortex,no_material_change,1.0,baseline and improved are identical and correctly match query,,,,no_material_change,1.0,baseline and improved are identical and correctly match query,
17,corpus,Cerebellar hemisphere,llm_accept_top1,HOMBA:10659,cerebellar hemisphere,HOMBA:10659,cerebellar hemisphere,no_material_change,1.0,baseline and improved are identical and correctly match query,,,,no_material_change,1.0,baseline and improved are identical and correctly match query,
18,corpus,Cerebellar vermis,llm_accept_top1,HOMBA:10658,cerebellar vermis,HOMBA:10658,cerebellar vermis,no_material_change,1.0,baseline and improved are identical and correctly match query,,,,no_material_change,1.0,baseline and improved are identical and correctly match query,
19,corpus,Cerebral aqueduct,llm_accept_top1,HOMBA:12369,cerebral aqueduct,HOMBA:12369,cerebral aqueduct,no_material_change,1.0,baseline and improved are identical and correctly match query,,,,no_material_change,1.0,baseline and improved are identical and correctly match query,
20,corpus,Cerebral peduncle,llm_accept_top1,HOMBA:12330,cerebral peduncle (crus cerebri),HOMBA:12330,cerebral peduncle (crus cerebri),no_material_change,1.0,Both candidates are identical: 'cerebral peduncle (crus cerebri)'. No material change.,,,,no_material_change,1.0,Both candidates are identical: 'cerebral peduncle (crus cerebri)'. No material change.,
21,corpus,Cingulate gyrus (posterior),llm_accept_top1,HOMBA:10285,posterior cingulate cortex (PCC),HOMBA:10285,posterior cingulate cortex (PCC),no_material_change,1.0,Both candidates are identical: 'posterior cingulate cortex (PCC)'. No material change.,,,,no_material_change,1.0,Both candidates are identical: 'posterior cingulate cortex (PCC)'. No material change.,
22,corpus,Corticospinal tract,llm_accept_top1,HOMBA:12047,corticospinal tract,HOMBA:12047,corticospinal tract,no_material_change,1.0,Both candidates are identical: 'corticospinal tract'. No material change.,,,,no_material_change,1.0,Both candidates are identical: 'corticospinal tract'. No material change.,
23,corpus,Cuneate fasciculus,llm_accept_top1,HOMBA:12731,cuneate fasciculus,HOMBA:12731,cuneate fasciculus,no_material_change,1.0,Both candidates are identical: 'cuneate fasciculus'. No material change.,,,,no_material_change,1.0,Both candidates are identical: 'cuneate fasciculus'. No material change.,
24,corpus,Cuneate nucleus,llm_accept_top1,HOMBA:12589,cuneate nucleus,HOMBA:12589,cuneate nucleus,no_material_change,1.0,Both candidates are identical: 'cuneate nucleus'. No material change.,,,,no_material_change,1.0,Both candidates are identical: 'cuneate nucleus'. No material change.,
25,corpus,Cuneate nucleus (external),llm_accept_top1,HOMBA:12588,external (accessory/lateral) cuneate nucleus,HOMBA:12588,external (accessory/lateral) cuneate nucleus,no_material_change,1.0,Both baseline and improved candidates are identical: 'external (accessory/lateral) cuneate nucleus'. No material difference.,,,,no_material_change,1.0,Both baseline and improved candidates are identical: 'external (accessory/lateral) cuneate nucleus'. No material difference.,
26,corpus,Cuneus,llm_accept_top1,HOMBA:12150,cuneus (gyrus),HOMBA:12150,cuneus (gyrus),no_material_change,1.0,Both baseline and improved candidates are identical: 'cuneus (gyrus)'. No material difference.,,,,no_material_change,1.0,Both baseline and improved candidates are identical: 'cuneus (gyrus)'. No material difference.,
27,corpus,Dentate gyrus,llm_accept_top1,HOMBA:10295,dentate gyrus,HOMBA:10295,dentate gyrus,no_material_change,1.0,Both baseline and improved candidates are identical: 'dentate gyrus'. No material difference.,,,,no_material_change,1.0,Both baseline and improved candidates are identical: 'dentate gyrus'. No material difference.,
28,corpus,Dentate nucleus,llm_accept_top1,HOMBA:12396,dentate (lateral) nucleus,HOMBA:12396,dentate (lateral) nucleus,no_material_change,1.0,Both baseline and improved candidates are identical: 'dentate (lateral) nucleus'. No material difference.,,,,no_material_change,1.0,Both baseline and improved candidates are identical: 'dentate (lateral) nucleus'. No material difference.,
29,corpus,Dorsal cochlear nucleus,llm_accept_top1,HOMBA:12438,dorsal cochlear nucleus,HOMBA:12438,dorsal cochlear nucleus,no_material_change,1.0,Both baseline and improved candidates are identical: 'dorsal cochlear nucleus'. No material difference.,,,,no_material_change,1.0,Both baseline and improved candidates are identical: 'dorsal cochlear nucleus'. No material difference.,
30,corpus,Dorsal motor nucleus of vagus,llm_accept_top1,HOMBA:12550,dorsal motor nucleus of the vagus (vagal nerve nucleus),HOMBA:12550,dorsal motor nucleus of the vagus (vagal nerve nucleus),no_material_change,1.0,Baseline and improved candidate names are identical.,,,,no_material_change,1.0,Baseline and improved candidate names are identical.,
31,corpus,Emboliform nucleus,llm_accept_top1,HOMBA:12401,lateral interpositus (emboliform) nucleus,HOMBA:12401,lateral interpositus (emboliform) nucleus,no_material_change,1.0,Baseline and improved candidate names are identical.,,,,no_material_change,1.0,Baseline and improved candidate names are identical.,
32,corpus,Entorhinal area,llm_accept_top1,HOMBA:10317,entorhinal cortex,HOMBA:10317,entorhinal cortex,no_material_change,0.95,"Both candidates are 'entorhinal cortex', which is equivalent to the query 'Entorhinal area'.",,,,no_material_change,0.95,"Both candidates are 'entorhinal cortex', which is equivalent to the query 'Entorhinal area'.",
33,corpus,Entorhinal cortex,llm_accept_top1,HOMBA:10317,entorhinal cortex,HOMBA:10317,entorhinal cortex,no_material_change,1.0,Baseline and improved candidate names are identical.,,,,no_material_change,1.0,Baseline and improved candidate names are identical.,
34,corpus,External lateral parabrachial nucleus,llm_accept_top1,HOMBA:12485,"lateral parabrachial nucleus, external division",HOMBA:12485,"lateral parabrachial nucleus, external division",no_material_change,0.95,"Both candidates are 'lateral parabrachial nucleus, external division', which is the same as the query 'External lateral parabrachial nucleus'.",,,,no_material_change,0.95,"Both candidates are 'lateral parabrachial nucleus, external division', which is the same as the query 'External lateral parabrachial nucleus'.",
35,corpus,Facial nucleus,llm_accept_top1,HOMBA:12420,facial nucleus,HOMBA:12420,facial nucleus,no_material_change,1.0,Baseline and improved candidate names are identical ('facial nucleus'),,,,no_material_change,1.0,Baseline and improved candidate names are identical ('facial nucleus'),
36,corpus,Fastigial nucleus,llm_accept_top1,HOMBA:12402,fastigial (medial) nucleus,HOMBA:12402,fastigial (medial) nucleus,no_material_change,1.0,Baseline and improved candidate names are semantically identical ('fastigial (medial) nucleus' for 'Fastigial nucleus'),,,,no_material_change,1.0,Baseline and improved candidate names are semantically identical ('fastigial (medial) nucleus' for 'Fastigial nucleus'),
37,corpus,Fimbria,llm_accept_top1,HOMBA:10575,fimbria,HOMBA:10575,fimbria,no_material_change,1.0,Baseline and improved candidate names are identical ('fimbria'),,,,no_material_change,1.0,Baseline and improved candidate names are identical ('fimbria'),
38,corpus,Flocculus,llm_accept_top1,HOMBA:AA30424,lobule Xa (flocculus),HOMBA:AA30424,lobule Xa (flocculus),no_material_change,1.0,Baseline and improved candidate names are semantically identical ('lobule Xa (flocculus)' for 'Flocculus'),,,,no_material_change,1.0,Baseline and improved candidate names are semantically identical ('lobule Xa (flocculus)' for 'Flocculus'),
39,corpus,Fornix,llm_accept_top1,HOMBA:10576,fornix,HOMBA:10576,fornix,no_material_change,1.0,Baseline and improved candidate names are identical ('fornix'),,,,no_material_change,1.0,Baseline and improved candidate names are identical ('fornix'),
40,corpus,Fourth ventricle,llm_accept_top1,HOMBA:12805,fourth ventricle,HOMBA:12805,fourth ventricle,no_material_change,1.0,Both candidates are identical and correctly match the query 'Fourth ventricle'.,,,,no_material_change,1.0,Both candidates are identical and correctly match the query 'Fourth ventricle'.,
41,corpus,Fusiform gyrus,llm_accept_top1,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,no_material_change,1.0,Both candidates are identical and correctly match the query 'Fusiform gyrus'.,,,,no_material_change,1.0,Both candidates are identical and correctly match the query 'Fusiform gyrus'.,
42,corpus,Globose nucleus,llm_accept_top1,HOMBA:12400,medial interpositus (globose) nucleus,HOMBA:12400,medial interpositus (globose) nucleus,no_material_change,1.0,Both candidates are identical and correctly match the query 'Globose nucleus'.,,,,no_material_change,1.0,Both candidates are identical and correctly match the query 'Globose nucleus'.,
43,corpus,Gracile fasciculus,llm_accept_top1,HOMBA:12739,gracile fasciculus,HOMBA:12739,gracile fasciculus,no_material_change,1.0,Both candidates are identical and correctly match the query 'Gracile fasciculus'.,,,,no_material_change,1.0,Both candidates are identical and correctly match the query 'Gracile fasciculus'.,
44,corpus,Gracile nucleus,llm_accept_top1,HOMBA:12592,gracile nucleus,HOMBA:12592,gracile nucleus,no_material_change,1.0,Both candidates are identical and correctly match the query 'Gracile nucleus'.,,,,no_material_change,1.0,Both candidates are identical and correctly match the query 'Gracile nucleus'.,
45,corpus,Gyrus rectus,llm_accept_top1,HOMBA:12121,rectus gyrus,HOMBA:12121,rectus gyrus,no_material_change,1.0,"Baseline and improved candidate names are identical ('rectus gyrus'), which matches the query 'Gyrus rectus'.",,,,no_material_change,1.0,"Baseline and improved candidate names are identical ('rectus gyrus'), which matches the query 'Gyrus rectus'.",
46,corpus,Heschl gyrus,llm_accept_top1,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),no_material_change,1.0,"Baseline and improved candidate names are identical ('transverse temporal gyrus (Heschl's gyrus)'), which matches the query 'Heschl gyrus'.",,,,no_material_change,1.0,"Baseline and improved candidate names are identical ('transverse temporal gyrus (Heschl's gyrus)'), which matches the query 'Heschl gyrus'.",
47,corpus,Heschl's gyrus,llm_accept_top1,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),no_material_change,1.0,"Baseline and improved candidate names are identical ('transverse temporal gyrus (Heschl's gyrus)'), which matches the query 'Heschl's gyrus'.",,,,no_material_change,1.0,"Baseline and improved candidate names are identical ('transverse temporal gyrus (Heschl's gyrus)'), which matches the query 'Heschl's gyrus'.",
48,corpus,Hippocampal formation,llm_accept_top1,HOMBA:12170,hippocampal formation,HOMBA:12170,hippocampal formation,no_material_change,1.0,"Baseline and improved candidate names are identical ('hippocampal formation'), which matches the query 'Hippocampal formation'.",,,,no_material_change,1.0,"Baseline and improved candidate names are identical ('hippocampal formation'), which matches the query 'Hippocampal formation'.",
49,corpus,Hippocampus,llm_accept_top1,HOMBA:AA30093,hippocampus,HOMBA:AA30093,hippocampus,no_material_change,1.0,"Baseline and improved candidate names are identical ('hippocampus'), which matches the query 'Hippocampus'.",,,,no_material_change,1.0,"Baseline and improved candidate names are identical ('hippocampus'), which matches the query 'Hippocampus'.",
50,corpus,Hypoglossal nucleus,llm_accept_top1,HOMBA:12545,hypoglossal nucleus,HOMBA:12545,hypoglossal nucleus,no_material_change,1.0,Both baseline and improved names are identical and correctly match the query 'Hypoglossal nucleus'.,,,,no_material_change,1.0,Both baseline and improved names are identical and correctly match the query 'Hypoglossal nucleus'.,
51,corpus,Inferior cerebellar peduncle,llm_accept_top1,HOMBA:12741,inferior cerebellar peduncle,HOMBA:12741,inferior cerebellar peduncle,no_material_change,1.0,Both baseline and improved names are identical and correctly match the query 'Inferior cerebellar peduncle'.,,,,no_material_change,1.0,Both baseline and improved names are identical and correctly match the query 'Inferior cerebellar peduncle'.,
52,corpus,Inferior colliculus,llm_accept_top1,HOMBA:12305,inferior colliculus,HOMBA:12305,inferior colliculus,no_material_change,1.0,Both baseline and improved names are identical and correctly match the query 'Inferior colliculus'.,,,,no_material_change,1.0,Both baseline and improved names are identical and correctly match the query 'Inferior colliculus'.,
53,corpus,Inferior frontal gyrus (opercular part),llm_accept_top1,HOMBA:12119,"inferior frontal gyrus, opercular part",HOMBA:12119,"inferior frontal gyrus, opercular part",no_material_change,1.0,"Both baseline and improved names are identical and correctly match the query 'Inferior frontal gyrus (opercular part)' (equivalent to 'inferior frontal gyrus, opercular part').",,,,no_material_change,1.0,"Both baseline and improved names are identical and correctly match the query 'Inferior frontal gyrus (opercular part)' (equivalent to 'inferior frontal gyrus, opercular part').",
54,corpus,Inferior frontal gyrus (triangular part),llm_accept_top1,HOMBA:12118,"inferior frontal gyrus, triangular part",HOMBA:12118,"inferior frontal gyrus, triangular part",no_material_change,1.0,"Both baseline and improved names are identical and correctly match the query 'Inferior frontal gyrus (triangular part)' (equivalent to 'inferior frontal gyrus, triangular part').",,,,no_material_change,1.0,"Both baseline and improved names are identical and correctly match the query 'Inferior frontal gyrus (triangular part)' (equivalent to 'inferior frontal gyrus, triangular part').",
55,corpus,Inferior longitudinal fasciculus,llm_accept_top1,HOMBA:10580,inferior longitudinal fasciculus,HOMBA:10580,inferior longitudinal fasciculus,no_material_change,1.0,"Both candidates are identical to the query, representing the same concept.",,,,no_material_change,1.0,"Both candidates are identical to the query, representing the same concept.",
56,corpus,Inferior occipital gyrus,llm_accept_top1,HOMBA:12153,inferior occipital gyrus,HOMBA:12153,inferior occipital gyrus,no_material_change,1.0,Both candidates match the query exactly; no difference.,,,,no_material_change,1.0,Both candidates match the query exactly; no difference.,
57,corpus,Inferior olive,llm_accept_top1,HOMBA:12600,inferior olive,HOMBA:12600,inferior olive,no_material_change,1.0,Both candidates are identical to the query.,,,,no_material_change,1.0,Both candidates are identical to the query.,
58,corpus,Inferior parietal lobule,llm_accept_top1,HOMBA:12134,inferior parietal lobule (gyrus),HOMBA:12134,inferior parietal lobule (gyrus),no_material_change,1.0,Both candidates are synonymous; 'inferior parietal lobule (gyrus)' is an alias of the query.,,,,no_material_change,1.0,Both candidates are synonymous; 'inferior parietal lobule (gyrus)' is an alias of the query.,
59,corpus,Inferior pulvinar,llm_accept_top1,HOMBA:10413,inferior division of pulvinar,HOMBA:10413,inferior division of pulvinar,no_material_change,1.0,Both candidates refer to the same structure; 'inferior division of pulvinar' is equivalent to 'inferior pulvinar'.,,,,no_material_change,1.0,Both candidates refer to the same structure; 'inferior division of pulvinar' is equivalent to 'inferior pulvinar'.,
60,corpus,Inferior salivatory nucleus,llm_accept_top1,HOMBA:12544,inferior salivatory nucleus,HOMBA:12544,inferior salivatory nucleus,no_material_change,1.0,Baseline and improved candidate are identical and match the query exactly.,,,,no_material_change,1.0,Baseline and improved candidate are identical and match the query exactly.,
61,corpus,Inferior temporal gyrus,llm_accept_top1,HOMBA:12142,inferior temporal gyrus,HOMBA:12142,inferior temporal gyrus,no_material_change,1.0,Baseline and improved candidate are identical and match the query exactly.,,,,no_material_change,1.0,Baseline and improved candidate are identical and match the query exactly.,
62,corpus,Insula,llm_accept_top1,HOMBA:12176,insular lobe,HOMBA:12176,insular lobe,no_material_change,1.0,Baseline and improved candidate are identical ('insular lobe' is synonymous with 'insula').,,,,no_material_change,1.0,Baseline and improved candidate are identical ('insular lobe' is synonymous with 'insula').,
63,corpus,Intermediate reticular zone,llm_accept_top1,HOMBA:12620,intermediate reticular nucleus,HOMBA:12620,intermediate reticular nucleus,no_material_change,1.0,Baseline and improved candidate are identical ('intermediate reticular nucleus' is equivalent to 'intermediate reticular zone').,,,,no_material_change,1.0,Baseline and improved candidate are identical ('intermediate reticular nucleus' is equivalent to 'intermediate reticular zone').,
64,corpus,Internal capsule,llm_accept_top1,HOMBA:10581,internal capsule,HOMBA:10581,internal capsule,no_material_change,1.0,Baseline and improved candidate are identical and match the query exactly.,,,,no_material_change,1.0,Baseline and improved candidate are identical and match the query exactly.,
65,corpus,Lateral geniculate nucleus,llm_accept_top1,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),no_material_change,1.0,Baseline and improved candidate names are identical.,,,,no_material_change,1.0,Baseline and improved candidate names are identical.,
66,corpus,Lateral parabrachial nucleus,llm_accept_top1,HOMBA:12482,lateral parabrachial nucleus,HOMBA:12482,lateral parabrachial nucleus,no_material_change,1.0,Baseline and improved candidate names are identical.,,,,no_material_change,1.0,Baseline and improved candidate names are identical.,
67,corpus,Lateral posterior thalamic nucleus,llm_accept_top1,HOMBA:10408,lateral posterior nucleus of thalamus,HOMBA:10408,lateral posterior nucleus of thalamus,no_material_change,1.0,Baseline and improved candidate names are identical.,,,,no_material_change,1.0,Baseline and improved candidate names are identical.,
68,corpus,Lateral pulvinar,llm_accept_top1,HOMBA:10412,lateral division of pulvinar,HOMBA:10412,lateral division of pulvinar,no_material_change,1.0,Baseline and improved candidate names are identical.,,,,no_material_change,1.0,Baseline and improved candidate names are identical.,
69,corpus,Lenticular nucleus (putamen),llm_accept_top1,HOMBA:10338,putamen (lateroventral division of the CP),HOMBA:10338,putamen (lateroventral division of the CP),no_material_change,1.0,Baseline and improved candidate names are identical.,,,,no_material_change,1.0,Baseline and improved candidate names are identical.,
70,corpus,Limen insulae,llm_accept_top1,HOMBA:12179,limen insula,HOMBA:12179,limen insula,no_material_change,1.0,Baseline and improved names are identical: 'limen insula'.,,,,no_material_change,1.0,Baseline and improved names are identical: 'limen insula'.,
71,corpus,Lingual gyrus,llm_accept_top1,HOMBA:12151,lingual gyrus,HOMBA:12151,lingual gyrus,no_material_change,1.0,Baseline and improved names are identical: 'lingual gyrus'.,,,,no_material_change,1.0,Baseline and improved names are identical: 'lingual gyrus'.,
72,corpus,Locus coeruleus,llm_accept_top1,HOMBA:12499,nucleus coeruleus (locus coeruleus),HOMBA:12499,nucleus coeruleus (locus coeruleus),no_material_change,1.0,Baseline and improved names are identical: 'nucleus coeruleus (locus coeruleus)'.,,,,no_material_change,1.0,Baseline and improved names are identical: 'nucleus coeruleus (locus coeruleus)'.,
73,corpus,Mammillary body,llm_accept_top1,HOMBA:15546,mammillary body,HOMBA:15546,mammillary body,no_material_change,1.0,Baseline and improved names are identical: 'mammillary body'.,,,,no_material_change,1.0,Baseline and improved names are identical: 'mammillary body'.,
74,corpus,Mammillothalamic tract,llm_accept_top1,HOMBA:10586,mammillothalamic tract,HOMBA:10586,mammillothalamic tract,no_material_change,1.0,Baseline and improved names are identical: 'mammillothalamic tract'.,,,,no_material_change,1.0,Baseline and improved names are identical: 'mammillothalamic tract'.,
75,corpus,Medial geniculate nucleus,llm_accept_top1,HOMBA:10434,medial geniculate nucleus,HOMBA:10434,medial geniculate nucleus,no_material_change,1.0,Baseline and improved candidates are identical and correctly match the query.,,,,no_material_change,1.0,Baseline and improved candidates are identical and correctly match the query.,
76,corpus,Medial lemniscus,llm_accept_top1,HOMBA:12763,medial lemniscus,HOMBA:12763,medial lemniscus,no_material_change,1.0,Baseline and improved candidates are identical and correctly match the query.,,,,no_material_change,1.0,Baseline and improved candidates are identical and correctly match the query.,
77,corpus,Medial longitudinal fasciculus,llm_accept_top1,HOMBA:12764,medial longitudinal fasciculus,HOMBA:12764,medial longitudinal fasciculus,no_material_change,1.0,Baseline and improved candidates are identical and correctly match the query.,,,,no_material_change,1.0,Baseline and improved candidates are identical and correctly match the query.,
78,corpus,Medial parabrachial nucleus,llm_accept_top1,HOMBA:12487,medial parabrachial nucleus,HOMBA:12487,medial parabrachial nucleus,no_material_change,1.0,Baseline and improved candidates are identical and correctly match the query.,,,,no_material_change,1.0,Baseline and improved candidates are identical and correctly match the query.,
79,corpus,Medial pulvinar,llm_accept_top1,HOMBA:10411,medial division of pulvinar,HOMBA:10411,medial division of pulvinar,no_material_change,1.0,Baseline and improved candidates are identical and semantically equivalent to the query (medial pulvinar = medial division of pulvinar).,,,,no_material_change,1.0,Baseline and improved candidates are identical and semantically equivalent to the query (medial pulvinar = medial division of pulvinar).,
80,corpus,Medial superior temporal area,llm_accept_top1,HOMBA:AA30021,medial superior temporal area,HOMBA:AA30021,medial superior temporal area,no_material_change,1.0,Both candidates are identical and exactly match the query 'Medial superior temporal area'.,,,,no_material_change,1.0,Both candidates are identical and exactly match the query 'Medial superior temporal area'.,
81,corpus,Median raphe,llm_accept_top1,HOMBA:12235,median raphe nucleus,HOMBA:12235,median raphe nucleus,no_material_change,1.0,Both candidates are identical ('median raphe nucleus') which is the standard name for 'Median raphe'.,,,,no_material_change,1.0,Both candidates are identical ('median raphe nucleus') which is the standard name for 'Median raphe'.,
82,corpus,Mediodorsal thalamic nucleus,llm_accept_top1,HOMBA:10398,mediodorsal nucleus of thalamus,HOMBA:10398,mediodorsal nucleus of thalamus,no_material_change,1.0,Both candidates are identical ('mediodorsal nucleus of thalamus') and refer to the same structure as 'Mediodorsal thalamic nucleus'.,,,,no_material_change,1.0,Both candidates are identical ('mediodorsal nucleus of thalamus') and refer to the same structure as 'Mediodorsal thalamic nucleus'.,
83,corpus,Middle cerebellar peduncle,llm_accept_top1,HOMBA:12768,middle cerebellar peduncle (brachium pontis),HOMBA:12768,middle cerebellar peduncle (brachium pontis),no_material_change,1.0,Both candidates are identical and match the query 'Middle cerebellar peduncle' (with parenthetical alias).,,,,no_material_change,1.0,Both candidates are identical and match the query 'Middle cerebellar peduncle' (with parenthetical alias).,
84,corpus,Middle frontal gyrus,llm_accept_top1,HOMBA:12116,middle frontal gyrus,HOMBA:12116,middle frontal gyrus,no_material_change,1.0,Both candidates are identical and exactly match the query 'Middle frontal gyrus'.,,,,no_material_change,1.0,Both candidates are identical and exactly match the query 'Middle frontal gyrus'.,
85,corpus,Middle temporal area,llm_accept_top1,HOMBA:267499039,"fifth visual area (middle temporal area, MT)",HOMBA:267499039,"fifth visual area (middle temporal area, MT)",no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,,,,no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,
86,corpus,Middle temporal gyrus,llm_accept_top1,HOMBA:12141,middle temporal gyrus,HOMBA:12141,middle temporal gyrus,no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,,,,no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,
87,corpus,Motor trigeminal nucleus,llm_accept_top1,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,,,,no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,
88,corpus,Nucleus accumbens,llm_accept_top1,HOMBA:10339,nucleus accumbens,HOMBA:10339,nucleus accumbens,no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,,,,no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,
89,corpus,Nucleus ambiguus,llm_accept_top1,HOMBA:12540,ambiguus nucleus,HOMBA:12540,ambiguus nucleus,no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,,,,no_material_change,1.0,Baseline and improved candidate names are identical; no material difference.,
