dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check
corpus,Dentate nucleus,high_confidence,1.0,HOMBA:12396,dentate (lateral) nucleus,bm25+exact+fuzzy+hierarchy_parent,Dentate nucleus,Dentate nucleus,,1.0,"dentate nucleus, mediodorsal division",0.675458,correct
corpus,Dorsal cochlear nucleus,high_confidence,1.0,HOMBA:12438,dorsal cochlear nucleus,bm25+exact+fuzzy,Dorsal cochlear nucleus,Dorsal cochlear nucleus,dorsal,1.0,dorsal part of pontine nucleus,0.429781,correct
corpus,Dorsal motor nucleus of vagus,high_confidence,1.0,HOMBA:12550,dorsal motor nucleus of the vagus (vagal nerve nucleus),bm25+fuzzy,Dorsal motor nucleus of vagus,dorsal motor nucleus of the vagus,dorsal,1.0,"dorsal motor nucleus of vagus, caudal division",0.990833,correct
corpus,Emboliform nucleus,high_confidence,1.0,HOMBA:12401,lateral interpositus (emboliform) nucleus,bm25+exact+fuzzy,Emboliform nucleus,Emboliform nucleus,,1.0,interpositus (intermediate) nucleus,0.97,correct
corpus,Entorhinal area,high_confidence,1.0,HOMBA:10317,entorhinal cortex,bm25+exact+fuzzy+hierarchy_parent,Entorhinal area,Entorhinal area,,1.0,lateral (rostral) entorhinal cortex,0.7009,correct
corpus,Entorhinal cortex,high_confidence,1.0,HOMBA:10317,entorhinal cortex,bm25+exact+fuzzy+hierarchy_parent,Entorhinal cortex,Entorhinal cortex,,1.0,lamination of entorhinal cortex,0.765457,correct
corpus,External lateral parabrachial nucleus,high_confidence,1.0,HOMBA:12485,"lateral parabrachial nucleus, external division",bm25+fuzzy,External lateral parabrachial nucleus,external part lateral parabrachial nucleus,external;lateral,1.0,"medial parabrachial nucleus, external division",0.817259,correct
corpus,Facial nucleus,high_confidence,1.0,HOMBA:12420,facial nucleus,bm25+exact+fuzzy+hierarchy_parent,Facial nucleus,Facial nucleus,,1.0,"facial nucleus, stylohyoid subnucleus",0.770833,correct
corpus,Fastigial nucleus,high_confidence,1.0,HOMBA:12402,fastigial (medial) nucleus,bm25+exact+fuzzy+hierarchy_parent,Fastigial nucleus,Fastigial nucleus,,1.0,"fastigial nucleus, medial division",0.734583,correct
corpus,Fimbria,high_confidence,1.0,HOMBA:10575,fimbria,bm25+exact+fuzzy,Fimbria,Fimbria,,1.0,hippocampus,0.206054,correct
corpus,Flocculus,high_confidence,1.0,HOMBA:AA30424,lobule Xa (flocculus),bm25+exact+fuzzy,Flocculus,Flocculus,,1.0,lobule X (nodulus and flocculus),0.642818,correct
corpus,Fornix,high_confidence,1.0,HOMBA:10576,fornix,bm25+exact+fuzzy+hierarchy_parent,Fornix,Fornix,,1.0,body of the fornix,0.589807,correct
corpus,Fourth ventricle,high_confidence,1.0,HOMBA:12805,fourth ventricle,bm25+exact+fuzzy+hierarchy_parent,Fourth ventricle,Fourth ventricle,,1.0,region of fourth ventricle,0.899038,correct
corpus,Fusiform gyrus,high_confidence,1.0,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,bm25+exact+fuzzy,Fusiform gyrus,Fusiform gyrus,,1.0,uncus of (para)hippocampal gyrus,0.310977,correct
corpus,Globose nucleus,high_confidence,1.0,HOMBA:12400,medial interpositus (globose) nucleus,bm25+exact+fuzzy,Globose nucleus,Globose nucleus,,1.0,interpositus (intermediate) nucleus,0.97,correct
corpus,Gracile fasciculus,high_confidence,1.0,HOMBA:12739,gracile fasciculus,bm25+exact+fuzzy,Gracile fasciculus,Gracile fasciculus,,1.0,gracile fasciculus in spinal cord,0.696591,correct
corpus,Gracile nucleus,high_confidence,1.0,HOMBA:12592,gracile nucleus,bm25+exact+fuzzy+hierarchy_parent,Gracile nucleus,Gracile nucleus,,1.0,"gracile nucleus, central division",0.755952,correct
corpus,Gyrus rectus,high_confidence,1.0,HOMBA:12121,rectus gyrus,bm25+exact+fuzzy,Gyrus rectus,Gyrus rectus,,1.0,uncus of (para)hippocampal gyrus,0.310977,correct
corpus,Heschl gyrus,high_confidence,1.0,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),bm25+exact+fuzzy,Heschl gyrus,Heschl gyrus,,1.0,transverse temporal sulcus,0.510606,correct
corpus,Heschl's gyrus,high_confidence,1.0,HOMBA:12144,transverse temporal gyrus (Heschl's gyrus),bm25+exact+fuzzy,Heschl's gyrus,Heschl's gyrus,,1.0,transverse temporal sulcus,0.510606,correct
corpus,Hippocampal formation,high_confidence,1.0,HOMBA:12170,hippocampal formation,bm25+exact+fuzzy,Hippocampal formation,Hippocampal formation,,1.0,hippocampal commissure,0.277958,correct
corpus,Hippocampus,high_confidence,1.0,HOMBA:AA30093,hippocampus,bm25+exact+fuzzy,Hippocampus,Hippocampus,,1.0,hippocampal proper (Cornu Ammonis),0.770833,correct
corpus,Hypoglossal nucleus,high_confidence,1.0,HOMBA:12545,hypoglossal nucleus,bm25+exact+fuzzy+hierarchy_parent,Hypoglossal nucleus,Hypoglossal nucleus,,1.0,other nuclei in dorsal medulla,0.909167,correct
corpus,Inferior cerebellar peduncle,high_confidence,1.0,HOMBA:12741,inferior cerebellar peduncle,bm25+exact+fuzzy,Inferior cerebellar peduncle,Inferior cerebellar peduncle,,1.0,middle cerebellar peduncle (brachium pontis),0.67705,correct
corpus,Inferior colliculus,high_confidence,1.0,HOMBA:12305,inferior colliculus,bm25+exact+fuzzy+hierarchy_parent,Inferior colliculus,Inferior colliculus,,1.0,brachium of inferior colliculus,0.813844,correct
corpus,Inferior frontal gyrus (opercular part),high_confidence,1.0,HOMBA:12119,"inferior frontal gyrus, opercular part",bm25+exact+fuzzy,Inferior frontal gyrus (opercular part),Inferior frontal gyrus (opercular part),opercular,1.0,inferior frontal gyrus,0.88,correct
corpus,Inferior frontal gyrus (triangular part),high_confidence,1.0,HOMBA:12118,"inferior frontal gyrus, triangular part",bm25+exact+fuzzy,Inferior frontal gyrus (triangular part),Inferior frontal gyrus (triangular part),triangular,1.0,inferior frontal gyrus,0.88,correct
corpus,Inferior longitudinal fasciculus,high_confidence,1.0,HOMBA:10580,inferior longitudinal fasciculus,bm25+exact+fuzzy,Inferior longitudinal fasciculus,Inferior longitudinal fasciculus,,1.0,longitudinal fasciculus,0.856667,correct
corpus,Inferior occipital gyrus,high_confidence,1.0,HOMBA:12153,inferior occipital gyrus,bm25+exact+fuzzy,Inferior occipital gyrus,Inferior occipital gyrus,,1.0,occipital lobe,0.97,correct
corpus,Inferior olive,high_confidence,1.0,HOMBA:12600,inferior olive,bm25+exact+fuzzy+hierarchy_parent,Inferior olive,Inferior olive,,1.0,hilus of the inferior olive,0.722962,correct
corpus,Inferior parietal lobule,high_confidence,1.0,HOMBA:12134,inferior parietal lobule (gyrus),bm25+exact+fuzzy,Inferior parietal lobule,Inferior parietal lobule,,1.0,parietal lobe,0.97,correct
corpus,Inferior pulvinar,high_confidence,1.0,HOMBA:10413,inferior division of pulvinar,bm25+exact+fuzzy,Inferior pulvinar,Inferior pulvinar,,1.0,pulvinar of thalamus,0.8342,correct
corpus,Inferior salivatory nucleus,high_confidence,1.0,HOMBA:12544,inferior salivatory nucleus,bm25+exact+fuzzy,Inferior salivatory nucleus,Inferior salivatory nucleus,,1.0,inferior colliculus,0.327761,correct
corpus,Inferior temporal gyrus,high_confidence,1.0,HOMBA:12142,inferior temporal gyrus,bm25+exact+fuzzy,Inferior temporal gyrus,Inferior temporal gyrus,,1.0,temporal lobe,0.97,correct
corpus,Insula,high_confidence,1.0,HOMBA:12176,insular lobe,bm25+exact+fuzzy+hierarchy_parent,Insula,Insula,,1.0,limen insula,0.8125,correct
corpus,Intermediate reticular zone,high_confidence,1.0,HOMBA:12620,intermediate reticular nucleus,bm25+exact+fuzzy,Intermediate reticular zone,Intermediate reticular zone,reticular,1.0,reticular nucleus of thalamus,0.349263,correct
corpus,Internal capsule,high_confidence,1.0,HOMBA:10581,internal capsule,bm25+exact+fuzzy+hierarchy_parent,Internal capsule,Internal capsule,,1.0,genu of internal capsule,0.854167,correct
corpus,Lateral geniculate nucleus,high_confidence,1.0,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),bm25+exact+fuzzy,Lateral geniculate nucleus,Lateral geniculate nucleus,lateral,1.0,pregeniculate nucleus (ventral lateral geniculate nucleus),0.9975,correct
corpus,Lateral parabrachial nucleus,high_confidence,1.0,HOMBA:12482,lateral parabrachial nucleus,bm25+exact+fuzzy,Lateral parabrachial nucleus,Lateral parabrachial nucleus,lateral,1.0,"lateral parabrachial nucleus, central division",0.9975,correct
corpus,Lateral posterior thalamic nucleus,high_confidence,1.0,HOMBA:10408,lateral posterior nucleus of thalamus,bm25+exact+fuzzy,Lateral posterior thalamic nucleus,Lateral posterior thalamic nucleus,lateral;posterior,1.0,posterior nucleus of thalamus,0.9375,correct
corpus,Lateral pulvinar,high_confidence,1.0,HOMBA:10412,lateral division of pulvinar,bm25+fuzzy,lateral pulvinar of thalamus,lateral division of pulvinar of thalamus,lateral,1.0,pulvinar of thalamus,0.7172,correct
corpus,Lenticular nucleus (putamen),high_confidence,1.0,HOMBA:10338,putamen (lateroventral division of the CP),bm25+exact+fuzzy,Lenticular nucleus,Lenticular nucleus,putamen,1.0,caudal putamen,0.935,correct
corpus,Limen insulae,high_confidence,1.0,HOMBA:12179,limen insula,bm25+exact+fuzzy,Limen insulae,Limen insulae,,1.0,insular lobe,0.219158,correct
corpus,Lingual gyrus,high_confidence,1.0,HOMBA:12151,lingual gyrus,bm25+exact+fuzzy,Lingual gyrus,Lingual gyrus,,1.0,uncus of (para)hippocampal gyrus,0.310977,correct
corpus,Locus coeruleus,high_confidence,1.0,HOMBA:12499,nucleus coeruleus (locus coeruleus),bm25+exact+fuzzy,Locus coeruleus,Locus coeruleus,,1.0,,,correct
corpus,Mammillary body,high_confidence,1.0,HOMBA:15546,mammillary body,bm25+exact+fuzzy,Mammillary body,Mammillary body,,1.0,body of corpus callosum,0.27635,correct
corpus,Mammillothalamic tract,high_confidence,1.0,HOMBA:10586,mammillothalamic tract,bm25+exact+fuzzy,Mammillothalamic tract,Mammillothalamic tract,,1.0,pyramidal tract,0.302708,correct
corpus,Medial geniculate nucleus,high_confidence,1.0,HOMBA:10434,medial geniculate nucleus,bm25+exact+fuzzy,Medial geniculate nucleus,Medial geniculate nucleus,medial,1.0,dorsal (rostral) division of medial geniculate nucleus,0.9975,correct
corpus,Medial lemniscus,high_confidence,1.0,HOMBA:12763,medial lemniscus,bm25+exact+fuzzy,Medial lemniscus,Medial lemniscus,medial,1.0,decussation of medial lemniscus,0.861263,correct
corpus,Medial longitudinal fasciculus,high_confidence,1.0,HOMBA:12764,medial longitudinal fasciculus,bm25+exact+fuzzy,Medial longitudinal fasciculus,Medial longitudinal fasciculus,medial,1.0,medial longitudinal fasciculus in spinal cord,0.9325,correct
corpus,Medial parabrachial nucleus,high_confidence,1.0,HOMBA:12487,medial parabrachial nucleus,bm25+exact+fuzzy,Medial parabrachial nucleus,Medial parabrachial nucleus,medial,1.0,"medial parabrachial nucleus, medial division",1.0,correct
corpus,Medial pulvinar,high_confidence,1.0,HOMBA:10411,medial division of pulvinar,bm25+fuzzy,medial pulvinar of thalamus,medial division of pulvinar of thalamus,medial,1.0,pulvinar of thalamus,0.7172,correct
corpus,Medial superior temporal area,high_confidence,1.0,HOMBA:AA30021,medial superior temporal area,bm25+exact+fuzzy,Medial superior temporal area,Medial superior temporal area,medial,1.0,superior (dorsal) temporal sulcus,0.559775,correct
corpus,Median raphe,high_confidence,1.0,HOMBA:12235,median raphe nucleus,bm25+exact+fuzzy,Median raphe,Median raphe,,1.0,pontine raphe region,0.8342,correct
corpus,Mediodorsal thalamic nucleus,high_confidence,1.0,HOMBA:10398,mediodorsal nucleus of thalamus,bm25+exact+fuzzy,Mediodorsal thalamic nucleus,Mediodorsal thalamic nucleus,,1.0,ventral midline nuclei of thalamus,0.369828,correct
corpus,Middle cerebellar peduncle,high_confidence,1.0,HOMBA:12768,middle cerebellar peduncle (brachium pontis),bm25+exact+fuzzy,Middle cerebellar peduncle,Middle cerebellar peduncle,,1.0,cerebellar morphology,0.323616,correct
corpus,Middle frontal gyrus,high_confidence,1.0,HOMBA:12116,middle frontal gyrus,bm25+exact+fuzzy,Middle frontal gyrus,Middle frontal gyrus,,1.0,frontal lobe,0.97,correct
corpus,Middle temporal area,high_confidence,1.0,HOMBA:267499039,"fifth visual area (middle temporal area, MT)",bm25+exact+fuzzy,Middle temporal area,Middle temporal area,,1.0,dorsolateral temporal cortex,0.8342,correct
corpus,Middle temporal gyrus,high_confidence,1.0,HOMBA:12141,middle temporal gyrus,bm25+exact+fuzzy,Middle temporal gyrus,Middle temporal gyrus,,1.0,temporal lobe,0.97,correct
corpus,Motor trigeminal nucleus,high_confidence,1.0,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",bm25+exact+fuzzy+hierarchy_parent,Motor trigeminal nucleus,Motor trigeminal nucleus,,1.0,afferent nuclei of cranial nerves in pons,0.816733,correct
corpus,Nucleus accumbens,high_confidence,1.0,HOMBA:10339,nucleus accumbens,bm25+exact+fuzzy+hierarchy_parent,Nucleus accumbens,Nucleus accumbens,,1.0,core of nucleus accumbens,0.736733,correct
corpus,Nucleus ambiguus,high_confidence,1.0,HOMBA:12540,ambiguus nucleus,bm25+exact+fuzzy+hierarchy_parent,Nucleus ambiguus,Nucleus ambiguus,,1.0,"ambiguus nucleus, loose division",0.798611,correct
corpus,Nucleus of the solitary tract,high_confidence,1.0,HOMBA:12557,solitary nucleus,bm25+exact+fuzzy+hierarchy_parent,Nucleus of the solitary tract,Nucleus of the solitary tract,,1.0,"solitary nucleus, gelatinous division",0.858333,correct
corpus,Obex,high_confidence,1.0,HOMBA:12812,obex,bm25+exact+fuzzy,Obex,Obex,,1.0,,,correct
corpus,Occipital pole,high_confidence,1.0,HOMBA:12149,occipital pole,bm25+exact+fuzzy,Occipital pole,Occipital pole,,1.0,occipital lobe,0.97,correct
corpus,Oculomotor nucleus,high_confidence,1.0,HOMBA:12198,oculomotor nucleus,bm25+exact+fuzzy+hierarchy_parent,Oculomotor nucleus,Oculomotor nucleus,,1.0,efferent nuclei of the cranial nerves in midbrain,0.97,correct
corpus,Optic chiasm,high_confidence,1.0,HOMBA:10644,optic chiasm,bm25+exact+fuzzy,Optic chiasm,Optic chiasm,,1.0,optic nerve,0.250475,correct
corpus,Optic tract,high_confidence,1.0,HOMBA:10589,optic tract,bm25+exact+fuzzy,Optic tract,Optic tract,,1.0,nucleus of the optic tract  (lentiform nucleus),0.590086,correct
corpus,Paracingulate gyrus,high_confidence,1.0,HOMBA:146034872,paracingulate gyrus,bm25+exact+fuzzy,Paracingulate gyrus,Paracingulate gyrus,,1.0,uncus of (para)hippocampal gyrus,0.310977,correct
corpus,Parahippocampal gyrus,high_confidence,1.0,HOMBA:12162,parahippocampal gyrus,bm25+exact+fuzzy+hierarchy_parent,Parahippocampal gyrus,Parahippocampal gyrus,,1.0,anterior parahippocampal gyrus,0.736733,correct
corpus,Parahippocampal gyrus (anterior),high_confidence,1.0,HOMBA:12163,anterior parahippocampal gyrus,bm25+fuzzy,Parahippocampal gyrus,anterior parahippocampal gyrus,anterior,1.0,parahippocampal gyrus,0.88,correct
corpus,Parahippocampal gyrus (posterior),high_confidence,1.0,HOMBA:12164,posterior parahippocampal gyrus,bm25+fuzzy,Parahippocampal gyrus,posterior parahippocampal gyrus,posterior,1.0,posterior parahippocampal region (postrhinal cortex),1.0,correct
corpus,Periamygdaloid cortex,high_confidence,1.0,HOMBA:AA30225,periamygdaloid cortex,bm25+exact+fuzzy+hierarchy_parent,Periamygdaloid cortex,Periamygdaloid cortex,,1.0,sulcal periamygdaloid cortex,0.856667,correct
corpus,Pineal gland,high_confidence,1.0,HOMBA:10460,pineal body,bm25+exact+fuzzy,Pineal gland,Pineal gland,,1.0,pituitary body/gland (hypophysis),0.278379,correct
corpus,Planum polare,high_confidence,1.0,HOMBA:12147,planum polare,bm25+exact+fuzzy,Planum polare,Planum polare,,1.0,planum temporale,0.278056,correct
corpus,Planum temporale,high_confidence,1.0,HOMBA:12145,planum temporale,bm25+exact+fuzzy,Planum temporale,Planum temporale,,1.0,planum polare,0.278056,correct
corpus,Pontobulbar nucleus,high_confidence,1.0,HOMBA:12614,pontobulbar nucleus,bm25+exact+fuzzy,Pontobulbar nucleus,Pontobulbar nucleus,,1.0,"pontobulbar nucleus, inferior division",0.675947,correct
corpus,Postcentral gyrus,high_confidence,1.0,HOMBA:12132,postcentral gyrus,bm25+exact+fuzzy,Postcentral gyrus,Postcentral gyrus,,1.0,cuneus (gyrus),0.279101,correct
corpus,Posterior cingulate gyrus,high_confidence,1.0,HOMBA:10285,posterior cingulate cortex (PCC),bm25+exact+fuzzy,Posterior cingulate gyrus,Posterior cingulate gyrus,posterior,1.0,"cingulate gyrus, caudal (posterior) part",0.889801,correct
corpus,Posterior commissure,high_confidence,1.0,HOMBA:10567,posterior commissure,bm25+exact+fuzzy,Posterior commissure,Posterior commissure,posterior,1.0,interstitial nucleus of posterior commissure (nucleus of posterior commissure),0.974167,correct
corpus,Posterior thalamic nucleus,high_confidence,1.0,HOMBA:10440,posterior nucleus of thalamus,bm25+exact+fuzzy,Posterior thalamic nucleus,Posterior thalamic nucleus,posterior,1.0,lateral posterior nucleus of thalamus,0.9975,correct
corpus,Precentral gyrus,high_confidence,1.0,HOMBA:12114,precentral gyrus,bm25+exact+fuzzy,Precentral gyrus,Precentral gyrus,,1.0,uncus of (para)hippocampal gyrus,0.310977,correct
corpus,Precuneus,high_confidence,1.0,HOMBA:12137,precuneaus (gyrus),bm25+exact+fuzzy,Precuneus,Precuneus,,1.0,,,correct
corpus,Prepositus nucleus,high_confidence,1.0,HOMBA:12615,prepositus hypoglossal nucleus,bm25+exact+fuzzy,Prepositus nucleus,Prepositus nucleus,,1.0,other nuclei in dorsal medulla,0.97,correct
corpus,Presubiculum,high_confidence,1.0,HOMBA:10315,presubiculum (presubicular cortex),bm25+exact+fuzzy+hierarchy_parent,Presubiculum,Presubiculum,,1.0,caudal (dorsal) presubiculum (postsubiculum),0.676118,correct
corpus,Primary auditory cortex,high_confidence,1.0,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",bm25+exact+fuzzy+hierarchy_parent,Primary auditory cortex,Primary auditory cortex,,1.0,dorsolateral temporal cortex,0.97,correct
corpus,Primary motor cortex,high_confidence,1.0,HOMBA:10163,"primary motor cortex (first motor cortex, area 4, area FA)",bm25+exact+fuzzy,Primary motor cortex,Primary motor cortex,,1.0,frontal motor cortex (posterior frontal cortex),0.8342,correct
corpus,Primary visual cortex,high_confidence,1.0,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+exact+fuzzy+hierarchy_parent,Primary visual cortex,Primary visual cortex,,1.0,dorsolateral extrastriate occipital cortex,0.9575,correct
corpus,Principal sensory trigeminal nucleus,high_confidence,1.0,HOMBA:12444,principal sensory nucleus of trigeminal nerve,bm25+fuzzy,principal sensory principal sensory nucleus of trigeminal nerve,principal sensory nucleus of trigeminal nerve,principal,1.0,spinal trigeminal nucleus,0.960882,correct
corpus,Pulvinar,high_confidence,1.0,HOMBA:10409,pulvinar of thalamus,bm25+exact+fuzzy+hierarchy_parent,Pulvinar,Pulvinar,,1.0,lateroposterior-pulvinar complex,0.622344,correct
corpus,Pulvinar nucleus,high_confidence,1.0,HOMBA:10409,pulvinar of thalamus,bm25+exact+fuzzy+hierarchy_parent,Pulvinar nucleus,Pulvinar nucleus,,1.0,dorsal group of LNC,0.685677,correct
corpus,Putamen,high_confidence,1.0,HOMBA:10338,putamen (lateroventral division of the CP),bm25+exact+fuzzy+hierarchy_parent,Putamen,Putamen,,1.0,caudal putamen,0.7009,correct
corpus,Pyramidal decussation,high_confidence,1.0,HOMBA:12772,pyramidal decussation,bm25+exact+fuzzy,Pyramidal decussation,Pyramidal decussation,decussation,1.0,supraoptic decussation,0.387737,correct
corpus,Raphe magnus,high_confidence,1.0,HOMBA:12642,raphe magnus nucleus,bm25+exact+fuzzy,Raphe magnus,Raphe magnus,,1.0,raphe nuclei in medulla oblongata,0.8342,correct
corpus,Raphe obscurus,high_confidence,1.0,HOMBA:12643,raphe obscurus nucleus,bm25+exact+fuzzy,Raphe obscurus,Raphe obscurus,,1.0,raphe nuclei in medulla oblongata,0.8342,correct
corpus,Red nucleus,high_confidence,1.0,HOMBA:12247,red nucleus,bm25+exact+fuzzy+hierarchy_parent,Red nucleus,Red nucleus,,1.0,"red nucleus, dorsomedial division",0.653352,correct
corpus,Retroinsular cortex,high_confidence,1.0,HOMBA:13323,retroinsular cortex,bm25+exact+fuzzy,Retroinsular cortex,Retroinsular cortex,,1.0,dorsolateral temporal cortex,0.278749,correct
corpus,Retrosplenial cortex,high_confidence,1.0,HOMBA:10324,retrosplenial cortex,bm25+exact+fuzzy+hierarchy_parent,Retrosplenial cortex,Retrosplenial cortex,,1.0,"agranular retrosplenial cortex (area 30, RSag)",0.854167,correct
corpus,Roots of the abducens nerve,high_confidence,1.0,HOMBA:12861,root of abducens nerve,bm25+exact+fuzzy,Roots of the abducens nerve,Roots of the abducens nerve,,1.0,root of facial nerve,0.395335,correct
corpus,Roots of the facial nerve,high_confidence,1.0,HOMBA:12862,root of facial nerve,bm25+exact+fuzzy+hierarchy_parent,Roots of the facial nerve,Roots of the facial nerve,,1.0,motor root of facial nerve,0.8775,correct
corpus,Roots of the trigeminal nerve,high_confidence,1.0,HOMBA:12865,root of trigeminal nerve,bm25+exact+fuzzy+hierarchy_parent,Roots of the trigeminal nerve,Roots of the trigeminal nerve,,1.0,motor root of trigeminal nerve,0.8775,correct
